stop_id,cultural_institutions,drugstores,groceries,healthcare,parks,religious_organizations,restaurants,schools,services,costing,range
2274,3,48,53,3,70,17,113,46,93,public_transport,
2275,6,98,90,7,192,36,212,112,180,public_transport,
2276,4,77,75,5,133,29,175,82,151,public_transport,
2277,7,114,101,7,233,35,222,126,188,public_transport,
2278,42,109,129,14,191,30,426,80,162,public_transport,
2279,28,73,83,14,119,20,262,51,124,public_transport,
228,4,60,57,4,116,20,121,66,102,public_transport,
2280,1,52,37,0,123,16,53,46,66,public_transport,
2281,1,58,39,0,127,17,60,50,69,public_transport,
2282,1,44,35,0,132,14,50,49,66,public_transport,
2283,1,48,38,0,134,14,53,47,66,public_transport,
2284,1,44,30,0,142,13,47,46,62,public_transport,
2286,1,38,31,0,105,11,42,37,61,public_transport,
2287,1,45,31,0,106,14,49,46,61,public_transport,
2288,1,35,34,2,176,11,58,35,59,public_transport,
2289,1,37,26,0,129,10,41,33,58,public_transport,
229,3,58,58,5,104,18,124,72,100,public_transport,
2290,2,40,37,2,198,8,54,34,63,public_transport,
2291,2,41,38,2,197,11,61,37,71,public_transport,
2292,0,29,25,2,157,8,29,27,34,public_transport,
2293,1,36,34,2,179,11,58,36,59,public_transport,
2294,1,40,35,2,185,10,55,35,52,public_transport,
2296,40,97,130,7,162,27,593,72,186,public_transport,
2298,2,5,5,1,11,1,10,5,5,public_transport,
23,8,46,58,4,25,11,249,26,93,public_transport,
230,4,65,53,5,107,20,137,68,110,public_transport,
2301,2,14,11,1,56,3,18,11,17,public_transport,
2302,3,24,19,3,64,6,32,22,16,public_transport,
2303,4,31,30,3,65,7,61,23,27,public_transport,
2304,10,106,94,13,88,24,296,60,153,public_transport,
2305,3,41,44,3,82,10,89,29,45,public_transport,
2306,3,50,51,3,91,10,122,36,50,public_transport,
2307,10,128,93,21,104,33,399,68,175,public_transport,
2308,74,112,159,11,158,42,712,82,198,public_transport,
2309,42,96,134,8,127,28,437,76,185,public_transport,
231,3,57,49,5,93,18,114,68,100,public_transport,
2310,44,99,153,6,162,43,505,70,171,public_transport,
2311,45,109,167,6,172,40,576,74,181,public_transport,
2312,24,60,94,5,111,28,393,57,100,public_transport,
2313,44,92,148,6,153,39,509,67,160,public_transport,
2316,21,56,73,2,58,24,500,37,71,public_transport,
2317,31,71,90,4,82,33,606,45,85,public_transport,
2318,47,94,136,7,116,41,828,71,147,public_transport,
232,4,58,46,4,104,19,136,63,96,public_transport,
2320,5,45,53,5,96,16,134,41,56,public_transport,
2321,9,52,66,5,104,18,215,46,70,public_transport,
2322,9,39,51,5,96,13,138,37,51,public_transport,
2323,26,57,92,5,108,25,261,48,93,public_transport,
2324,2,26,33,3,37,8,75,20,60,public_transport,
2325,6,61,69,5,146,23,150,63,109,public_transport,
2326,4,66,70,5,128,17,151,50,103,public_transport,
233,3,52,45,4,88,18,103,68,97,public_transport,
2330,3,69,59,2,59,20,136,48,120,public_transport,
2331,4,70,65,3,57,18,151,51,127,public_transport,
2332,3,72,55,3,86,20,119,48,103,public_transport,
2333,3,67,63,3,57,19,140,44,117,public_transport,
2334,2,73,53,5,103,23,126,58,100,public_transport,
2335,3,78,57,2,87,25,112,50,105,public_transport,
2336,3,78,57,5,123,23,134,64,104,public_transport,
2337,3,81,61,4,97,22,125,52,106,public_transport,
2338,2,50,31,2,135,20,54,70,32,public_transport,
2339,3,53,31,4,140,23,63,65,56,public_transport,
234,4,66,57,5,118,25,140,69,112,public_transport,
2340,2,38,21,2,112,15,45,55,24,public_transport,
2341,3,45,26,3,126,19,55,60,41,public_transport,
2342,3,45,27,2,140,17,54,67,27,public_transport,
2343,2,43,25,2,123,15,47,63,28,public_transport,
2344,1,27,12,1,90,8,28,39,14,public_transport,
2345,1,26,13,1,90,10,28,37,13,public_transport,
2348,3,46,30,2,140,16,60,61,29,public_transport,
2349,2,46,29,2,142,17,71,59,28,public_transport,
235,3,56,58,3,100,19,127,62,109,public_transport,
2350,2,34,22,2,106,13,43,48,23,public_transport,
2351,1,43,27,2,127,15,58,59,30,public_transport,
2352,2,42,23,1,119,17,46,62,22,public_transport,
2353,3,49,30,2,149,19,68,62,30,public_transport,
2354,2,35,16,1,111,15,37,54,20,public_transport,
2355,57,109,156,7,161,43,701,73,173,public_transport,
2356,60,107,145,7,167,38,640,76,172,public_transport,
2357,47,85,138,5,108,41,682,56,145,public_transport,
2358,55,108,150,6,158,42,627,71,173,public_transport,
2359,50,97,163,7,136,47,711,74,170,public_transport,
236,4,70,53,6,130,24,138,65,99,public_transport,
2360,51,96,160,6,133,47,744,74,178,public_transport,
2361,26,55,96,5,86,24,334,44,92,public_transport,
2362,44,67,125,5,104,37,597,48,122,public_transport,
2363,20,69,86,7,112,31,447,53,90,public_transport,
2364,30,70,114,5,99,32,453,53,113,public_transport,
2365,33,84,118,7,113,33,653,55,115,public_transport,
2366,23,64,96,7,93,21,306,52,99,public_transport,
2367,48,91,130,8,112,42,824,66,147,public_transport,
2369,6,118,111,14,104,27,322,71,177,public_transport,
237,4,89,81,6,155,27,183,84,141,public_transport,
2370,3,98,109,12,92,26,252,62,164,public_transport,
2371,13,146,108,26,117,39,467,81,204,public_transport,
2372,11,135,104,23,105,32,412,70,184,public_transport,
2373,7,132,108,19,107,30,376,73,186,public_transport,
2374,1,55,58,3,69,13,115,47,67,public_transport,
2376,2,63,64,6,74,15,130,55,78,public_transport,
2377,8,65,55,4,83,16,123,42,74,public_transport,
2378,1,54,54,3,68,14,112,43,69,public_transport,
2379,7,67,51,7,93,14,119,51,79,public_transport,
2380,6,59,51,3,73,14,113,41,65,public_transport,
2381,9,68,57,6,88,16,127,44,79,public_transport,
2383,7,69,84,10,43,21,282,42,176,public_transport,
2384,9,75,64,13,61,20,288,51,157,public_transport,
2385,7,81,107,12,56,26,341,49,199,public_transport,
2386,10,101,127,14,79,31,438,61,230,public_transport,
2388,11,82,41,19,77,20,211,91,108,public_transport,
2389,25,72,88,19,59,17,405,55,157,public_transport,
239,4,97,79,6,165,30,191,82,139,public_transport,
2390,16,78,96,18,52,25,335,53,186,public_transport,
2391,12,69,74,19,52,19,274,48,136,public_transport,
2392,15,76,95,20,60,23,341,56,175,public_transport,
2393,16,78,87,19,55,23,327,53,174,public_transport,
2394,8,56,71,15,72,22,246,42,126,public_transport,
2395,16,75,91,17,66,27,339,51,163,public_transport,
2396,3,45,77,4,69,22,180,30,122,public_transport,
2397,3,40,73,3,61,23,173,30,123,public_transport,
2398,6,49,88,3,82,23,188,31,148,public_transport,
2399,3,33,64,3,58,18,141,24,108,public_transport,
24,5,50,42,4,141,19,101,68,46,public_transport,
240,3,76,47,5,135,23,124,71,83,public_transport,
2400,8,58,96,3,97,28,220,37,163,public_transport,
2401,8,58,96,3,97,28,220,37,163,public_transport,
2402,5,35,61,3,62,13,122,26,86,public_transport,
2403,7,43,80,1,75,20,149,27,109,public_transport,
2405,6,9,9,2,25,2,39,4,9,public_transport,
2406,9,23,26,2,46,7,111,13,18,public_transport,
2407,8,18,19,3,28,5,87,10,22,public_transport,
2408,6,13,12,2,32,4,57,5,10,public_transport,
2409,8,22,23,3,29,6,104,10,30,public_transport,
241,4,80,60,6,134,25,166,71,115,public_transport,
2410,8,18,19,3,28,5,88,10,22,public_transport,
2411,9,33,41,5,33,6,154,19,54,public_transport,
2412,9,33,41,5,32,6,153,19,53,public_transport,
2413,6,4,1,1,26,2,15,4,2,public_transport,
2414,9,23,26,3,35,4,107,11,34,public_transport,
2415,5,23,29,4,31,6,113,15,43,public_transport,
2416,8,18,21,3,32,3,97,8,28,public_transport,
2417,11,46,56,7,36,11,247,31,90,public_transport,
2418,7,27,31,7,37,6,125,22,49,public_transport,
2419,41,85,120,19,74,26,707,65,210,public_transport,
242,4,75,49,4,132,22,117,64,80,public_transport,
2420,76,101,141,7,119,36,677,67,163,public_transport,
2421,57,95,118,3,127,26,494,71,149,public_transport,
2423,8,49,25,1,125,17,107,45,37,public_transport,
2424,3,42,21,0,105,14,54,32,22,public_transport,
2425,7,62,43,1,135,18,151,53,70,public_transport,
2426,5,51,26,0,147,23,55,46,24,public_transport,
2427,8,47,25,1,118,15,107,40,37,public_transport,
2428,11,86,57,2,200,32,98,80,73,public_transport,
2429,4,61,29,1,158,21,69,57,36,public_transport,
243,4,91,63,6,148,26,163,78,113,public_transport,
2430,11,87,61,2,201,32,107,79,72,public_transport,
2431,11,82,59,2,193,31,104,73,68,public_transport,
2434,3,67,32,1,167,29,71,55,45,public_transport,
2436,4,71,37,1,180,32,74,65,49,public_transport,
2437,6,86,48,1,199,33,93,71,58,public_transport,
2438,3,60,29,1,164,26,61,55,42,public_transport,
2439,3,58,29,1,157,26,55,54,39,public_transport,
244,4,66,44,4,128,21,93,67,74,public_transport,
2440,3,64,31,1,160,26,58,52,43,public_transport,
2441,3,62,41,1,162,29,63,64,51,public_transport,
2442,3,66,40,1,176,30,62,63,53,public_transport,
2443,3,55,35,3,162,25,61,65,43,public_transport,
2444,3,52,35,1,160,26,58,61,41,public_transport,
2445,3,58,38,1,163,26,64,61,44,public_transport,
2446,4,57,36,4,172,28,65,67,45,public_transport,
2447,3,58,38,1,165,26,64,62,45,public_transport,
2448,2,42,25,3,146,23,39,52,32,public_transport,
2449,3,44,18,3,124,18,44,48,24,public_transport,
245,4,77,50,5,139,21,125,73,84,public_transport,
2450,3,48,36,3,162,29,67,61,55,public_transport,
2451,4,49,31,4,141,24,53,59,41,public_transport,
2452,4,58,46,3,201,32,83,77,70,public_transport,
2453,5,58,47,3,201,32,88,77,70,public_transport,
2454,4,58,47,3,202,32,83,77,70,public_transport,
2455,6,63,48,3,211,32,85,81,70,public_transport,
2456,6,51,50,3,175,28,107,68,69,public_transport,
2457,2,45,35,3,159,29,67,59,55,public_transport,
2458,5,57,57,5,164,25,128,73,91,public_transport,
2459,3,49,38,3,178,30,70,64,59,public_transport,
246,3,47,24,3,114,16,58,52,50,public_transport,
2460,7,78,71,7,189,32,163,95,122,public_transport,
2461,5,49,49,3,160,24,97,63,67,public_transport,
2462,8,105,96,9,235,40,224,118,161,public_transport,
2463,8,104,94,9,235,43,218,117,159,public_transport,
2464,3,65,31,1,163,26,71,53,42,public_transport,
2465,3,44,19,1,111,18,39,43,23,public_transport,
2466,3,44,19,1,111,18,39,43,23,public_transport,
2467,3,37,15,1,89,17,33,35,21,public_transport,
2468,3,40,17,1,103,18,35,40,23,public_transport,
2469,3,50,20,1,135,19,41,46,26,public_transport,
247,4,68,46,4,120,18,105,65,78,public_transport,
2470,3,65,37,2,155,28,71,54,51,public_transport,
2471,7,83,46,1,195,33,75,72,50,public_transport,
2472,11,97,69,2,218,36,119,81,88,public_transport,
2475,2,52,52,4,67,14,101,38,78,public_transport,
2476,5,90,75,13,78,21,270,50,125,public_transport,
2477,4,73,70,7,90,20,153,62,129,public_transport,
2478,3,79,78,9,81,21,194,58,120,public_transport,
248,4,71,46,4,122,22,98,68,80,public_transport,
2480,21,118,125,24,91,40,509,63,295,public_transport,
2481,21,118,131,20,92,42,496,67,285,public_transport,
2482,20,108,119,18,78,37,460,55,262,public_transport,
2483,2,40,25,2,136,13,53,58,25,public_transport,
2484,2,47,28,2,160,22,74,68,27,public_transport,
2485,2,51,28,2,149,22,72,65,28,public_transport,
2486,3,53,33,3,154,22,81,69,33,public_transport,
2489,2,35,20,1,100,13,50,44,23,public_transport,
2491,1,31,19,0,93,12,38,36,17,public_transport,
2495,1,75,46,1,96,22,74,57,71,public_transport,
2498,2,16,17,0,47,9,52,11,11,public_transport,
250,3,50,29,4,127,21,59,66,54,public_transport,
2503,8,64,39,11,81,14,132,67,74,public_transport,
2504,0,29,14,8,28,7,56,27,32,public_transport,
2505,1,42,19,11,39,10,70,35,50,public_transport,
2506,5,57,24,12,61,15,115,57,60,public_transport,
2507,3,27,15,6,27,6,49,22,23,public_transport,
2508,3,30,18,6,28,7,54,27,26,public_transport,
2509,8,36,18,4,33,9,66,33,31,public_transport,
251,4,60,34,4,117,20,81,60,66,public_transport,
2510,8,34,16,4,37,8,65,36,30,public_transport,
2511,8,40,23,4,44,11,75,45,44,public_transport,
2512,9,54,28,12,58,12,107,63,58,public_transport,
2513,10,80,47,17,88,16,161,82,92,public_transport,
2514,5,78,45,1,121,29,80,75,75,public_transport,
2515,4,74,41,3,130,29,86,63,46,public_transport,
2516,3,62,42,1,109,27,82,61,79,public_transport,
2517,5,71,36,3,113,27,76,67,41,public_transport,
2518,2,36,18,1,79,17,41,37,23,public_transport,
2519,4,55,27,1,82,23,57,51,30,public_transport,
252,3,55,31,3,114,18,66,57,60,public_transport,
2520,2,29,17,0,95,15,36,31,18,public_transport,
2521,2,33,17,1,66,16,40,35,21,public_transport,
2522,2,46,31,0,115,18,58,45,32,public_transport,
2523,2,49,33,0,144,19,54,53,37,public_transport,
2524,2,37,21,0,95,14,36,39,19,public_transport,
2525,2,42,22,0,118,18,49,46,23,public_transport,
2526,2,40,27,0,83,13,41,38,16,public_transport,
2527,2,37,22,0,104,16,43,40,19,public_transport,
2528,1,19,13,0,45,8,28,24,10,public_transport,
2529,2,24,16,0,63,9,29,30,15,public_transport,
253,2,41,26,2,128,19,37,57,28,public_transport,
2530,1,24,19,0,50,9,38,25,14,public_transport,
2531,2,18,11,0,47,8,25,21,9,public_transport,
2532,3,44,31,0,80,15,52,40,28,public_transport,
2533,2,34,19,0,92,14,35,39,15,public_transport,
2535,40,88,108,5,113,21,362,64,122,public_transport,
2536,7,53,34,1,132,18,87,50,61,public_transport,
2537,25,66,74,0,123,17,182,61,98,public_transport,
2538,6,68,41,1,171,27,76,69,58,public_transport,
2539,12,60,55,0,133,20,129,53,71,public_transport,
2540,10,85,61,2,192,33,90,78,79,public_transport,
2541,6,43,27,1,129,18,59,53,49,public_transport,
2542,13,46,69,5,98,18,237,42,74,public_transport,
2543,12,90,63,2,200,34,125,82,87,public_transport,
