stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality
1565,5.155,0.4781,85,1.123,8.653,5.66,5,47,31,9,165,14,108,44,86,5,36,23,4,110,8,68,28,68,3.389,1.7660000000000005,3216,Lacoma,40.48269,-3.71552,2029,0.008220928001821965,0.0029140359397765905,0.09714555319650861,0.005919493646753284
1566,5.466,0.0842,72,1.388,4.625,2.832,21,113,129,18,88,40,479,59,277,12,75,94,13,59,27,333,44,183,3.721,1.745,3217,Cuatro Caminos,40.44738,-3.70431,1809,0.00473273443894727,0.0029140359397765905,0.11596080198242847,0.033793197274293064
1567,9.691,0.2765,130,10.435,0.114,4.348,107,158,199,14,200,57,1232,109,268,43,55,66,4,51,16,328,22,81,3.549,6.142000000000001,3218,Alfonso XII - Estación De Atocha,40.4077,-3.68851,1675,0.04915130872683707,0.006313744536182613,0.14824681402548778,0.5362911117674126
1568,5.08,0.4603,59,1.69,4.808,2.795,17,112,147,10,90,39,507,55,263,11,74,94,5,68,30,323,35,178,3.687,1.3930000000000002,3219,Alvarado,40.44925,-3.7035,1814,0.0008350336851610593,0.0009713453132588635,0.10476238933550422,0.006170853957773031
1569,5.4,0.2146,74,1.389,5.053,2.822,15,106,147,9,103,32,467,49,247,10,76,112,6,68,28,327,32,196,3.652,1.7480000000000002,3220,Teruel,40.4516,-3.7031,1813,0.00016919002192189596,0.0009713453132588635,0.09639513108614232,0.005362834214891481
1570,4.917,0.3898,59,1.359,5.037,2.85,16,116,147,16,85,40,520,55,277,10,75,108,6,66,28,316,31,189,3.592,1.3249999999999997,3221,Teruel,40.45137,-3.70353,1813,0.00016919002192189596,0.0009713453132588635,0.09639513108614232,0.005362834214891481
1571,6.627,0.3,91,1.927,5.395,2.901,15,120,155,11,124,38,492,54,277,9,73,118,4,58,30,311,37,207,3.221,3.4059999999999997,3222,Estrecho,40.45484,-3.70258,1817,0.00015816790512859373,0.001942690626517727,0.09128796275770339,0.01032539840566398
1572,6.006,0.4301,73,1.858,5.67,3.003,9,98,148,8,115,35,432,58,241,9,82,129,6,71,27,341,36,215,3.761,2.245,3223,Bravo Murillo - Lope De Haro,40.45741,-3.70229,1816,0.00036625820723384613,0.001942690626517727,0.08894936927596336,0.004981185634313036
1573,5.209,0.3848,64,1.388,5.648,3.208,9,75,116,4,107,33,306,43,200,9,69,119,6,82,30,297,38,203,3.749,1.4599999999999995,3224,Francos Rodríguez - Villaamil,40.45668,-3.70548,1812,9.304660636472071e-05,0.0014570179698882952,0.0865962905328679,0.013182954556610525
1574,5.67,0.2921,71,1.384,5.626,3.192,10,104,136,9,114,35,421,51,240,9,70,119,6,83,30,300,37,204,3.781,1.8889999999999998,3225,Francos Rodríguez - Villaamil,40.4565,-3.70537,1812,9.304660636472071e-05,0.0014570179698882952,0.0865962905328679,0.013182954556610525
1575,5.474,0.2564,69,1.615,5.782,3.522,8,63,105,5,108,29,228,40,170,9,49,94,4,73,25,196,28,157,3.64,1.834,3226,Francos Rodríguez - Numancia,40.45715,-3.70926,1411,2.201875607229671e-05,0.003399708596406022,0.08143489954121183,0.014634098081742966
1576,6.237,0.322,87,1.83,5.831,3.613,11,96,137,8,119,35,365,49,232,8,42,88,3,72,24,174,27,148,3.75,2.487,3227,Francos Rodríguez - Numancia,40.45736,-3.71031,1411,2.201875607229671e-05,0.003399708596406022,0.08143489954121183,0.014634098081742966
1577,5.487,0.3196,71,1.823,5.93,3.779,8,63,107,5,104,29,227,42,172,7,37,82,3,75,20,144,26,121,3.839,1.6480000000000001,3228,Metro Francos Rodríguez,40.45784,-3.71217,1411,2.201875607229671e-05,0.003399708596406022,0.08143489954121183,0.014634098081742966
1578,5.951,0.249,80,1.532,5.893,3.764,11,79,123,5,117,33,320,45,205,7,34,80,3,75,22,148,28,126,3.866,2.0849999999999995,3229,Metro Francos Rodríguez,40.45748,-3.71218,1411,2.201875607229671e-05,0.003399708596406022,0.08143489954121183,0.014634098081742966
1579,4.11,0.66,42,1.349,6.052,3.981,3,46,82,4,86,22,146,32,129,1,29,61,1,77,16,109,21,85,3.422,0.6880000000000002,3230,Instituto La Paloma,40.45839,-3.71445,1410,3.868827245221885e-06,0.0009713453132588635,0.07539086814836513,0.003853645433431927
1580,5.187,0.3384,63,1.866,6.03,3.977,9,72,113,5,99,30,275,41,191,1,29,62,1,77,15,106,21,82,3.505,1.6820000000000004,3231,Instituto La Paloma,40.45815,-3.71453,1410,3.868827245221885e-06,0.0009713453132588635,0.07539086814836513,0.003853645433431927
1581,3.801,0.6875,47,0.901,6.33,4.382,2,39,65,3,90,17,109,31,96,1,24,37,2,68,13,54,26,48,3.514,0.28700000000000037,3232,Francos Rodríguez - Antonio Machado,40.45975,-3.71884,1000,7.019571758770553e-07,0.0009713453132588635,0.07027783466448222,0.0029268724870510562
1582,4.21,0.5515,51,1.068,6.302,4.371,4,52,91,5,84,26,180,35,150,1,24,35,2,69,13,53,25,47,3.501,0.7090000000000001,3233,Francos Rodríguez - Antonio Machado,40.45947,-3.71885,1000,7.019571758770553e-07,0.0009713453132588635,0.07027783466448222,0.0029268724870510562
1583,3.687,0.7107,52,1.149,6.549,4.491,1,38,62,3,96,16,96,28,87,1,23,32,3,75,10,37,22,34,3.464,0.22299999999999986,3234,Antonio Machado - Martín Alzaga,40.46183,-3.71904,1004,2.535879277913632e-07,0.0024283632831471587,0.06634444981472531,0.0024311887591427187
1584,4.498,0.6408,52,1.562,6.552,4.512,3,51,86,4,106,25,155,34,137,1,24,31,3,75,11,35,23,34,3.459,1.0390000000000001,3235,Antonio Machado - Martín Alzaga,40.46176,-3.71935,1004,2.535879277913632e-07,0.0024283632831471587,0.06634444981472531,0.0024311887591427187
1585,2.421,0.5334,25,0.345,6.919,4.888,0,17,14,3,52,8,16,13,20,0,20,18,2,71,9,22,18,19,3.326,-0.9050000000000002,3236,Isla De Oza - Aurora,40.46426,-3.7227,1008,2.0441699992595034e-07,0.0009713453132588635,0.06349842718805897,0.00032846483090762877
