stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,Unnamed: 29,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,Unnamed: 0,weighted_gini_walk,weighted_gini_multi,weighted_net_income_hh_walk,weighted_net_income_hh_multi
par_8_07571,10.812,0.2198,68,5.49,6.96,11.02,8,114,103,10,258,47,254,133,199,1126,2,24,29,3,75,17,45,34,43,272,3.092,7.719999999999999,1426,AV.CARABANCHEL ALTO-ALLARIZ,40.3677253723145,-3.75347065925598,1285,2.385139844393125e-07,0.0009713453132588,0.0700459261779214,0.0003324578618707,4854,29.790229,30.577394,32563.0,32378.0
par_8_3715,7.88,0.5343,45,4.078,4.77,8.537,10,106,89,5,229,42,206,114,136,937,8,59,44,3,99,20,125,48,61,467,3.611,4.269,1440,OCA-PINZON,40.3888359069824,-3.74054527282715,1277,9.543891425658104e-06,0.0009713453132588,0.0794796572222651,0.0003031250900946,5122,33.033742,31.914945,28774.0,30389.0
par_8_17647,0.203,,1,0.0,11.201,11.194,0,0,2,0,4,0,1,0,0,7,0,3,4,0,15,0,7,3,0,32,1.897,-1.694,1560,PEÑALARA DE ARAVACA Nº7,40.4611429742268,-3.80141385181765,69,2.0677523692911622e-05,0.0009713453132588,0.0889839664635464,0.0,5016,43.075682,43.851204,89680.0,89731.0
par_8_06315,1.121,0.8738,5,0.582,9.419,7.733,0,0,0,0,3,0,2,0,0,5,0,0,0,0,7,0,2,0,0,9,1.844,-0.7230000000000001,1576,CTRA.M605-EL TEJAR DE SOMONTES,40.4779120294322,-3.7512497954127,167,1.627210524519077e-05,0.0014570179698882,0.0725945774424426,0.0048331273118419,4779,39.073792,43.080891,88445.0,86299.0
par_8_06316,1.924,0.9016,11,1.006,10.593,8.598,0,2,0,0,14,2,14,3,4,39,0,0,0,0,3,0,5,0,0,8,2.35,-0.4260000000000001,1577,CTRA.M605-CLUB SOMONTES,40.488973088758,-3.75428758799542,46,5.71159179047684e-06,0.0014570179698882,0.0677302631578947,0.0087083608854629,4780,35.924012,29.014248,67685.0,38677.0
par_8_06317,1.892,0.9276,11,1.014,12.04,9.917,1,2,0,0,10,2,15,3,4,37,0,0,0,0,3,0,1,0,0,4,2.195,-0.3029999999999999,1578,CTRA.M605-PUENTE,40.5004142675713,-3.76252330932239,15,1.0024036358811807e-06,0.0009713453132588,0.0634671105357252,0.0077443313410842,4781,24.844447,27.973275,38853.0,35706.0
par_8_06318,2.145,0.9498,11,0.713,13.576,11.322,1,2,0,0,14,3,18,4,4,46,1,2,0,0,8,2,13,3,4,33,2.351,-0.2059999999999999,1579,CTRA.M605-PARQUE DE TRANSMISIONES,40.5129930562051,-3.77029093601404,7,1.759263465214201e-07,0.0009713453132588,0.0597053876935568,0.006779593819072,4782,27.439022,27.729728,33582.0,36415.0
par_8_06319,2.145,0.9498,11,0.713,14.044,11.757,1,2,0,0,14,3,18,4,4,46,1,2,0,0,8,2,14,3,4,34,2.534,-0.3889999999999998,1580,CTRA.M605-CUARTEL DE TRANSMISIONES,40.5168330665512,-3.77264852849924,8,3.087612702710868e-08,0.0009713453132588,0.0563615460418263,0.0058139123268817,4783,27.457064,27.735687,33798.0,36409.0
par_8_06320,1.978,0.9445,10,0.484,14.624,12.354,1,2,0,0,14,3,17,4,4,45,1,2,0,0,9,3,13,3,4,35,2.656,-0.6780000000000002,1581,PºEL PARDO-PLAZA EL PARDO,40.5206735925854,-3.77760349336145,11,9.510919786153003e-10,0.0009713453132588,0.0506768397735663,0.0038797174319668,4784,27.668498,27.738175,35875.0,36407.0
par_8_06321,1.978,0.9445,10,0.484,14.838,12.549,1,2,0,0,14,3,17,4,4,45,1,2,0,0,11,4,15,4,4,41,2.622,-0.6439999999999999,1582,PºEL PARDO-CUARTEL DEL REY,40.5225052732281,-3.77851005794223,10,1.6692948413530692e-10,0.0009713453132588,0.0482404760789091,0.0029112040292423,4785,27.783814,27.738175,37004.0,36407.0
par_8_06322,1.648,0.9257,9,0.305,15.585,13.206,1,2,0,0,13,3,16,4,4,43,1,1,0,0,6,1,12,1,4,26,0.745,0.903,1583,PºEL PARDO-CUARTEL PRÍNCIPE DE ASTURIAS,40.5294014580049,-3.78051432103474,13,2.929825377150852e-11,0.0009713453132588,0.0460255722460658,0.0019417466563396,4786,27.874094,27.743951,37985.0,36403.0
