Unnamed: 0,stop_id,stop_name,stop_lat,stop_lon,clust,geometry
1278,5110,SAN CIPRIANO-MINERVA,40.403243026416,-3.5992039115757586,525,POINT (-3.59921275981909 40.4032784367377)
1281,3513,SAMANIEGO-CAMPEZO,40.444254610267635,-3.582237666831167,210,POINT (-3.5822430004935 40.4442838308029)
1285,par_8_07439,AV.MEDITERRÁNEO-SANTA EUGENIA,40.3819923400879,-3.6034369468689,329,POINT (-3.6034369468689 40.3819923400879)
1288,1040,AV.MEDITERRÁNEO-SANTA EUGENIA,40.38492326375327,-3.6055379375457766,317,POINT (-3.60516381263733 40.3853797912598)
1289,par_8_07433,AV.MEDITERRÁNEO-CONDE CASAL,40.40646558044875,-3.66775124192215,1479,POINT (-3.66785273790314 40.4063797998135)
1290,2612,AV.MEDITERRÁNEO-AV.DEMOCRACIA,40.391356905822775,-3.624179194602965,296,POINT (-3.62432551383972 40.3910179138184)
1292,3353,AV.MEDITERRÁNEO-AV.PABLO NERUDA,40.39502842376707,-3.6409975471496576,1559,POINT (-3.64083123207092 40.394603729248)
1294,5150,AV.MEDITERRÁNEO-UNIV.POLITÉCNICA MADRID,40.391268806762696,-3.62675773044586,295,POINT (-3.62709546089172 40.3911476135254)
1296,1992,AV.MEDITERRÁNEO-ARROYO FONTARRÓN,40.40035539916992,-3.648772526086171,1555,POINT (-3.64907050132751 40.4010429382324)
1298,2608,AV.MEDITERRÁNEO-PÍO FELIPE,40.39809579868862,-3.6462812055969223,1554,POINT (-3.64672994613647 40.3978118896484)
1303,4406,CTRA.M203-CAÑADA REAL DE MERINA,40.39385361047905,-3.54244231031714,18,POINT (-3.54239462063428 40.3938472209581)
1304,par_8_10457,CTRA.RIVAS JARAMA-LA JUNGLA,40.391468222490104,-3.573333949823065,20,POINT (-3.57310370497324 40.3914108055305)
1306,2309,RONDA ATOCHA-ESTACIÓN DE AUTOBUSES,40.406836060791,-3.69623946258545,1672,POINT (-3.6965389251709 40.407112121582)
1307,1433,PZA.CONDE DE CASAL-CONDE DE CASAL,40.40679511183518,-3.670165655194796,1481,POINT (-3.67065143585205 40.4064064025879)
1310,1124,PZA.LEGAZPI-LEGAZPI,40.391299846495684,-3.695024119800635,1452,POINT (-3.69558596611023 40.3910789489746)
1311,par_8_07687,AV.LOS ROSALES-CENTRAL ELÉCT.VILLAVERDE,40.3440780639648,-3.67153072357178,384,POINT (-3.67153072357178 40.3440780639648)
1312,par_8_07688,AV.LOS ROSALES-DEPURADORA BUTARQUE,40.3338718414307,-3.6641072034835798,136,POINT (-3.66404938697815 40.3339767456055)
1314,par_8_07690,AV.LOS ROSALES-GASOLINERA,40.3389663696289,-3.66866636276245,351,POINT (-3.66866636276245 40.3389663696289)
1315,par_8_07691,AV.LOS ROSALES-GASOLINERA,40.340389251709,-3.66902184486389,352,POINT (-3.66902184486389 40.340389251709)
1318,1132,AV.CORDOBA-HOSPITAL 12 DE OCTUBRE,40.376666171386724,-3.695736135650636,638,POINT (-3.69566106796265 40.3766212463379)
1319,1134,AV.ANDALUCIA-MEZQUITA,40.37345582092286,-3.694525069999695,640,POINT (-3.69445013999939 40.3734016418457)
1320,1135,AV.ANDALUCIA-AV.POBLADOS,40.37059593035017,-3.695285399246216,650,POINT (-3.69451332092285 40.3703842163086)
1322,1172,AV.ANDALUCIA-VERBENA DE LA PALOMA,40.35958936264038,-3.693310254878997,423,POINT (-3.69348073005676 40.3604354858398)
1324,1174,AV.ANDALUCIA-BOHEMIOS,40.35597299804687,-3.6930551054954552,417,POINT (-3.69315075874329 40.3558235168457)
1326,1176,J.JOSE MTNEZ.SECO-ESPERANZA MACARENA,40.35135310930248,-3.690604153842971,406,POINT (-3.69104671478271 40.3515853881836)
1330,1449,CONCEPCION DE LA OLIVA Nº 13,40.35385133758545,-3.681234386291505,407,POINT (-3.68182754516602 40.3540153503418)
1332,par_8_18275,AV.LOS ROSALES-ZAFIRO,40.3485717773438,-3.67499017715454,414,POINT (-3.67499017715454 40.3485717773438)
1333,par_8_18276,AV.LOS ROSALES-ZAFIRO,40.3496742248535,-3.67595505714417,415,POINT (-3.67595505714417 40.3496742248535)
1336,1793,AV.ANDALUCIA-ANOETA,40.35257045959473,-3.6924185570780437,405,POINT (-3.69307088851929 40.3526077270508)
1339,3753,AV.ROSALES-MIGUEL SOLAS,40.35211196149554,-3.678364744415283,408,POINT (-3.67788004875183 40.3514175415039)
1341,5085,CAMPOS IBAÑEZ-Pº ESTACION,40.35375292114258,-3.6853803127861022,403,POINT (-3.68539142608643 40.3536071777344)
1344,1935,AV.CORDOBA-ANTONIO LOPEZ,40.38771870217062,-3.6994582841907855,1083,POINT (-3.69891715049744 40.3873481750488)
1358,3569,DOMINGO PÁRRAGA-POLIGONO INDUSTRIAL,40.34097461982603,-3.71841425909993,388,POINT (-3.71888277729979 40.3410738594781)
