stop_id,clust,stop_lat,stop_lon,stop_name,geometry
1385152,148,60.24613,25.04853,Kankiraudantie,POINT (25.04853 60.24613)
1412133,94,60.26665,25.07134,Kalliotie,POINT (25.07134 60.26665)
1411111,194,60.26963,25.06259,Puistolan raitti,POINT (25.06115 60.26945)
1385160,95,60.255845,25.03244,Pilvitie,POINT (25.03316 60.25571)
1382158,98,60.256434999999996,25.024315,Saniaistie,POINT (25.02477 60.25644)
1385180,102,60.26301,25.0414,Tasankotie,POINT (25.0414 60.26301)
1392101,96,60.258852000000005,25.028543,Saniaiskuja,POINT (25.028559 60.258842)
1382111,97,60.257466,25.026041499999998,Malminkaari,POINT (25.026081 60.257578)
1392103,104,60.2613385,25.028981,Fallkullantie,POINT (25.028908 60.261308)
1382112,131,60.254287,25.019157,Hela-aukio,POINT (25.019157 60.254287)
1382165,136,60.252875,25.014505,Soidintie,POINT (25.01507 60.25315)
1385104,99,60.26557333333333,25.041983333333334,Suurmetsäntie,POINT (25.04177 60.26529)
1385102,101,60.2623935,25.039772,Sointutie,POINT (25.039394 60.262717)
1411100,206,60.267058,25.032918,Kuutie,POINT (25.032918 60.267067)
1385100,100,60.26374,25.037096,Helluntairaitti,POINT (25.037096 60.26374)
1392105,106,60.2634962,25.031179400000003,Fallkulla,POINT (25.030925 60.262863)
1392138,103,60.2650755,25.0257175,Tapanilan tori,POINT (25.02579 60.26512)
1392150,105,60.26307,25.02692,Jukolantie,POINT (25.027 60.26313)
1392136,210,60.26939333333333,25.024306666666664,Päivöläntie,POINT (25.02404 60.26918)
1392148,122,60.260455,25.020895000000003,Viertolantie,POINT (25.02155 60.26028)
1382163,138,60.25062285714286,25.012092285714285,Ala-Malmin tori,POINT (25.01215 60.25152)
1402125,187,60.274856428571425,25.036108000000002,Puistolan asema,POINT (25.0353 60.27528)
1364103,107,60.227898,24.9897405,Bysantinkuja,POINT (24.989917 60.228033)
1361112,235,60.22396966666667,24.988742333333334,Viikinm. ampumarata,POINT (24.98927 60.22372)
1364105,248,60.22984983333333,24.998587333333333,Viikinmäki,POINT (24.99814 60.23021)
1401103,108,60.271770000000004,24.99213,Kytöpolku,POINT (24.99206 60.27145)
1401101,119,60.26942,24.9835,Peltokyläntie,POINT (24.98338 60.2693)
1401105,169,60.274886499999994,24.991146,Siltamäen ostosk.,POINT (24.99112 60.27532)
1401109,171,60.27499433333333,24.997506666666666,Suutarilantie,POINT (24.99796 60.27481)
1403126,215,60.266774999999996,24.9932,Soinintie,POINT (24.99344 60.2669)
1382101,109,60.241115,25.031015,Tattariharjuntie,POINT (25.03104 60.24123)
1382128,114,60.2423762,25.019505400000003,Latokartanontie,POINT (25.019695 60.24175)
1474122,553,60.236676,25.0418,Kivikonlaita,POINT (25.0418 60.236676)
1382145,110,60.242515,25.02792,Raetie,POINT (25.02813 60.24243)
1382147,144,60.2443825,25.034480000000002,Usvatie,POINT (25.03355 60.24359)
1383106,111,60.237173,25.0186525,Liuskekuja,POINT (25.01858 60.237071)
1383115,115,60.239258,25.0190275,Hiekkakiventie,POINT (25.019102 60.239347)
1383104,254,60.234722500000004,25.014768,Kivijalka,POINT (25.014985 60.23482)
1383111,112,60.236355,25.02201,Malmin hautausmaa,POINT (25.02225 60.23676)
1382113,117,60.240179,25.021039,Seppämestarintie,POINT (25.021039 60.240179)
1383109,256,60.2330125,25.012067499999997,Meripihkatie,POINT (25.01284 60.23295)
1382115,113,60.243425,25.015375,Riihenkulma,POINT (25.01545 60.24349)
1382123,139,60.2474,25.011345,Ala-Malmi,POINT (25.01138 60.24755)
1383114,116,60.23859,25.02095,Seppämestarintie,POINT (25.02095 60.23859)
1382104,118,60.24164,25.02326,Latokartanontie,POINT (25.02326 60.24164)
1401114,127,60.26679,24.98035,Niemitie,POINT (24.98012 60.26722)
1392157,120,60.25747,25.013065,Huhtakuja,POINT (25.0132 60.25743)
1392188,125,60.25978,25.01236,Huhtapuisto,POINT (25.01236 60.25978)
1381155,141,60.255570000000006,25.010315,Malmin raitti 15,POINT (25.01035 60.2556)
1392146,121,60.261,25.017125,Halmetie,POINT (25.01763 60.2608)
1392143,123,60.262204999999994,25.012155,Kotinummentie,POINT (25.01222 60.26215)
1391187,124,60.26077,25.01166,Huhtapuisto,POINT (25.01166 60.26077)
1391112,126,60.2643775,24.9832,Santerlantie,POINT (24.98384 60.26381)
1391110,154,60.261134999999996,24.9853575,Valakkatie,POINT (24.98636 60.26129)
1391108,156,60.258635,24.993575,Vanha Tapanilantie,POINT (24.9934 60.25877)
1353123,647,60.25601,24.95801,Tuomarinkyläntie,POINT (24.95801 60.25601)
1353121,653,60.254992,24.952652,Yhdyskunnantie,POINT (24.952652 60.254992)
1382175,128,60.249905,25.029885,Pyrytie,POINT (25.02981 60.24988)
1382186,129,60.25094,25.02559,Teerisuonkuja,POINT (25.02561 60.25097)
1382179,143,60.247555000000006,25.03342,Nallenmäentie,POINT (25.03338 60.24752)
1382141,130,60.252815,25.02197,Teerisuontie,POINT (25.02167 60.25316)
1382139,134,60.250065,25.02008,Lallintie,POINT (25.02018 60.25005)
1381123,132,60.2535865,25.003186,Malmin sairaala,POINT (25.002922 60.253412)
1381124,133,60.253848,25.000627,Malmin sairaala,POINT (25.000627 60.253848)
1381101,137,60.25030941666666,25.008774,Malmin asema,POINT (25.00946 60.25004)
1391106,157,60.25732,24.99856,Syystie,POINT (24.99789 60.25733)
1381107,158,60.256375000000006,24.99843,Syystie,POINT (24.99936 60.25636)
1382167,135,60.2513705,25.017916999999997,Pekanraitti,POINT (25.017874 60.251471)
1382169,140,60.248734999999996,25.011895,Paavolantie,POINT (25.01278 60.24882)
1381153,142,60.253785,25.008965,Viljakuja,POINT (25.00895 60.25366)
1370121,221,60.24617,25.00154,Ruotutorpankuja,POINT (25.00154 60.24617)
1285103,1124,60.228711,24.968044333333335,Oulunkylän asema,POINT (24.967892 60.228546)
1384147,145,60.244344999999996,25.040284999999997,Valuraudantie,POINT (25.04056 60.24429)
1384149,146,60.24535,25.044975,Malmin lentokenttä,POINT (25.04537 60.24534)
1384151,147,60.24642,25.05051,Kankiraudantie,POINT (25.05051 60.24642)
1391118,149,60.257115,24.981575,Uimarannantie,POINT (24.98163 60.25723)
1391120,152,60.25960166666667,24.981294666666667,Pohjanpellontie,POINT (24.98156 60.25975)
1391134,150,60.259114999999994,24.987246499999998,Tapaninvainiontie,POINT (24.987201 60.259102)
1391124,151,60.258482,24.9841035,Uimarannantie,POINT (24.984184 60.258496)
1391103,163,60.2556135,24.9885765,Haapatori,POINT (24.988976 60.255687)
1391190,153,60.261314999999996,24.99053,Laukkipäänpolku,POINT (24.99091 60.26154)
1391142,155,60.26117,25.003635000000003,Kotikaivontie,POINT (25.00335 60.26103)
1391141,160,60.25832,25.00074,Laulurastaantie,POINT (25.00074 60.25832)
1391192,212,60.263885,25.004555,Leivosentie,POINT (25.00455 60.26397)
1391140,159,60.25929,25.00169,Laulurastaantie,POINT (25.00169 60.25929)
1391100,162,60.256088500000004,24.9923025,Haapatie,POINT (24.992204 60.256121)
1391101,165,60.253605,24.993904999999998,Suvitie,POINT (24.9941 60.25397)
1370128,164,60.25147,24.994105,Leppätie,POINT (24.99443 60.25133)
