"","stop_id","weighted_net_income_hh_multi","weighted_net_income_hh_walk","percent_change_income","log_change_income","weighted_gini_multi","weighted_gini_walk","percent_change_gini","log_change_gini","area","ellipticity","number_of_accessible_stops","concave_area","distance_betweenness","distance_from_landuse_centroid","cultural_institutions_multimodal","drugstores_multimodal","groceries_multimodal","healthcare_multimodal","parks_multimodal","religious_organizations_multimodal","restaurants_multimodal","schools_multimodal","services_multimodal","cultural_institutions_walk15","drugstores_walk15","groceries_walk15","healthcare_walk15","parks_walk15","religious_organizations_walk15","restaurants_walk15","schools_walk15","services_walk15","walk_area","area_difference","stop_name","stop_lat","stop_lon","cluster","eigenvector_centrality","degree_centrality","closeness_centrality","betweenness_centrality","cultural_institutions_multimod_d","drugstores_multimodal_d","groceries_multimodal_d","healthcare_multimodal_d","parks_multimodal_d","religious_organ_multimod_d","restaurants_multimodal_d","schools_multimodal_d","services_multimodal_d","cultural_institutions_walk15_d","drugstores_walk15_d","groceries_walk15_d","healthcare_walk15_d","parks_walk15_d","religious_organizations_walk15_d","restaurants_walk15_d","schools_walk15_d","services_walk15_d","multimod_sum","walk_sum","gini_diff","access_diff"
"4967","par_8_1546",46572.6084110025,47118.7922759446,-1.15916354931905,-0.0116593422296644,29.9137750486862,28.797398904495,3.87665617958616,0.0380340110275524,6.155,0.6418,99,2.795,8.525,5.179,7,61,42,10,165,19,173,58,132,6,42,29,7,81,10,95,32,84,3.367,2.788,"GINZO DE LIMIA-SANGENJO",40.4831003319106,-3.70563600372254,2024,0.0678520036551008,0.0019426906265177,0.115967333145593,0.0458248674012073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1.11637614419118,0
"4968","par_8_1547",43763.9295120293,46646.9886237379,-6.18058999470201,-0.0637984216889,29.4506620580924,28.759724269285,2.4024492805911,0.0237404450870396,5.08,0.614,89,1.937,8.494,5.16,8,61,40,9,131,16,182,47,127,5,42,31,6,80,10,96,32,87,3.307,1.773,"GINZO DE LIMIA-SANGENJO",40.4827929705449,-3.70580976042275,2024,0.0678520036551008,0.0019426906265177,0.115967333145593,0.0458248674012073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,0.690937788807421,0
"4969","par_8_1548",47294.3393761622,47195.8530091425,0.208675891503952,0.00208458465789633,29.9373825739103,29.1502627959375,2.70021503230653,0.0266440247349452,5.849,0.6577,91,3.223,8.732,5.431,6,55,37,10,162,19,129,56,122,6,36,23,6,89,9,95,35,84,3.333,2.516,"GINZO DE LIMIA-VALENCIA DE DON JUAN",40.4847085429798,-3.70782380640564,2025,0.0249116548614897,0.003399708596406,0.106052021632758,0.0502735790472428,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,0.787119777972762,0
"4970","par_8_1549",46142.7785640679,46944.1889953331,-1.70715577032312,-0.0172189567066766,29.8267606177624,29.1548119222599,2.3047608651849,0.0227860241582198,5.663,0.6491,100,2.415,8.748,5.461,8,57,40,10,144,17,161,50,122,6,38,20,6,88,9,90,35,82,3.259,2.404,"GINZO DE LIMIA-CDAD.PERIODISTAS",40.4847959511169,-3.70826127702618,2025,0.0249116548614897,0.003399708596406,0.106052021632758,0.0502735790472428,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,0.671948695502508,0
"4971","par_8_15525",52872.115384823,55159.9586475656,-4.14765224419471,-0.0423612227348028,36.0332844735578,35.9211850574321,0.312070484162683,0.00311584554925933,6.889,0.4928,100,2.668,3.993,4.337,42,89,127,20,80,26,736,65,216,9,62,67,8,25,11,282,36,125,3.158,3.731,"PºMORET-MONCLOA",40.4344237273486,-3.72051269269525,1850,4.284226535473e-05,0.0058280718795531,0.0938896488828089,0.0525718108136143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,0.112099416125702,0
"4972","par_8_15557",32452.0847386552,33197.6366129206,-2.24579804568139,-0.0227140013015725,30.0539457300737,29.6636900019199,1.31560075003672,0.0130702188387076,10.066,0.2738,172,4.784,6.623,10.142,7,115,100,7,232,35,220,126,185,3,33,30,3,63,15,83,48,67,3.564,6.502,"AV.LAS ÁGUILAS-ALUCHE",40.3855604155259,-3.76247532760477,1271,0.0010325633783677,0.0043710539096648,0.114166897698919,0.079928076944414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,0.390255728153825,0
"4973","par_8_1565",48908.555709281,45662.0176536927,7.10993123477473,0.0686855157825899,29.7685838796039,29.8130959290984,-0.149303680504349,-0.00149415249514334,5.679,0.5765,89,2.798,8.655,5.663,7,53,27,10,164,17,153,50,89,4,36,24,4,110,8,68,28,69,3.373,2.306,"AV.C.HERRERA ORIA-VENTISQUERO CONDESA",40.4826970140565,-3.71555418743726,2029,0.0082209280018219,0.0029140359397765,0.0971455531965086,0.0059194936467532,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,-0.0445120494944362,0
"4974","par_8_15782",32475.2083536735,32963.2513325822,-1.4805668712247,-0.0149163666218236,30.076980188889,29.6243196666771,1.52800309780964,0.0151644670316464,10.551,0.3016,178,5.484,6.695,10.216,8,116,100,7,233,35,220,126,186,3,31,25,4,56,11,71,43,61,3.407,7.144,"AV.LAS ÁGUILAS-ALUCHE",40.3851683181923,-3.76318956438627,1271,0.0010325633783677,0.0043710539096648,0.114166897698919,0.079928076944414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,0.452660522211858,0
"4975","par_8_1602",44346.0904320153,47334.2410611105,-6.3128732226578,-0.0652093938306914,30.4441418630182,30.9459132248157,-1.62144628969996,-0.0163473557830348,7.197,0.3172,126,5.389,8.146,4.281,10,71,71,9,159,24,238,61,147,3,17,22,4,51,8,80,16,19,2.752,4.445,"HOSPITAL LA PAZ-MATERNIDAD",40.4806509317194,-3.68904597509477,2093,0.295280524738848,0.0048567265662943,0.129090909090909,0.0874760402775212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,-0.501771361797545,0
"4976","par_8_16165",32739.1863200997,36008.915647197,-9.08033265742574,-0.0951938458030703,30.4382318447266,29.1041133456508,4.58395170205438,0.044819928461279,6.268,0.4333,91,2.514,7.437,11.577,6,47,53,4,145,24,110,61,85,1,12,18,1,48,7,28,22,26,2.619,3.649,"AV.CARABANCHEL ALTO-AV.LA PESETA",40.3616676330566,-3.75405097007751,836,5.72039349079142e-06,0.0019426906265177,0.0772868886303066,0.004407033639089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1.3341184990758,0
"4977","par_8_16166",31844.2110992222,35952.0081021205,-11.4257790308407,-0.121329330430082,30.8981374647257,29.1210105403581,6.10255925667406,0.0592359805159971,10.303,0.2794,158,5.562,7.415,11.557,8,105,93,10,230,46,230,114,157,1,12,18,1,47,7,28,22,26,2.591,7.712,"AV.CARABANCHEL ALTO-AV.LA PESETA",40.3617248535156,-3.75375723838806,836,5.72039349079142e-06,0.0019426906265177,0.0772868886303066,0.004407033639089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1.77712692436765,0
