stop_id,stop_name,stop_lat,stop_lon,clust,geometry
F02451,Csillagvizsgáló,47.500225,18.964741,2163,POINT (18.964734 47.500315)
F02453,"Csillebérc, Gyermekvasút",47.497715,18.964015,2162,POINT (18.963955 47.497706)
F02455,Sötétvágás utca,47.4951205,18.964616,2161,POINT (18.964663 47.494864)
F02482,Rendelőintézet,47.5110725,19.005766,2127,POINT (19.00568 47.511176)
F02484,Hunyad köz,47.5113585,18.98161,2108,POINT (18.981716 47.511435)
F02486,Hunyad lejtő,47.510862,18.978869,2109,POINT (18.97865 47.510875)
F02488,Csemegi utca,47.501645,19.018128,1246,POINT (19.018128 47.501645)
F02492,Hajós Alfréd uszoda,47.5198575,19.0441675,2038,POINT (19.044234 47.519853)
F02494,Palatinus fürdő,47.527902999999995,19.0474265,270,POINT (19.047606 47.528074)
F02496,Szabadtéri Színpad,47.530417,19.048641500000002,271,POINT (19.048934 47.530844)
F02498,Szállodák (Hotels),47.5332855,19.0507665,267,POINT (19.050873 47.533317)
F02500,Zenélőkút,47.535818,19.05244,268,POINT (19.052506 47.535692)
F02502,Margitsziget / Árpád híd,47.537431999999995,19.05406,269,POINT (19.054392 47.537185)
F02504,Tisza utca,47.523999,19.058753000000003,263,POINT (19.058109 47.524161)
F02505,Parkmozi köz,47.522704000000004,19.045189,2039,POINT (19.045282 47.522785)
F02507,Viza utca,47.530412,19.057705,256,POINT (19.057645 47.530106)
F02509,Dráva utca,47.5258115,19.0578305,262,POINT (19.057817 47.525897)
F02511,Jászai Mari tér,47.51389,19.049372,321,POINT (19.049372 47.51389)
F02512,Szent István park,47.518037500000005,19.0520405,326,POINT (19.051456 47.518335)
F02514,Victor Hugo utca,47.517478499999996,19.0547885,309,POINT (19.054762 47.517793)
F02516,Victor Hugo utca,47.518347500000004,19.0562955,310,POINT (19.056767 47.518468)
F02521,Ipoly utca,47.520208499999995,19.053978999999998,312,POINT (19.054072 47.520564)
