stop_id,multimodal_gini
103897,0.1967
105925,0.186
106324,0.1587
106325,0.1824
108188,0.1743
108458,0.2147
108550,0.1688
109462,0.1888
109565,0.1529
109566,0.1494
109702,0.1855
CS007899,0.1405
CS009703,0.1856
CS050182,0.1597
CS050183,0.1667
CS056176,0.1374
CS056230,0.199
CS056232,0.1717
CS107475,0.1367
CSF00062,0.1765
CSF00094,0.1682
CSF00097,0.2069
CSF00140,0.168
CSF00185,0.1612
CSF00461,0.1865
CSF00471,0.1973
CSF00481,0.1839
CSF00483,0.1768
CSF00487,0.1816
CSF00511,0.1586
CSF00568,0.1461
CSF00579,0.1393
CSF00619,0.1434
CSF00625,0.1513
CSF00632,0.1613
CSF00678,0.1779
CSF00897,0.1455
CSF00913,0.1418
CSF00958,0.1867
CSF00960,0.1924
CSF00997,0.184
CSF00999,0.21
CSF01019,0.2123
CSF01025,0.1547
CSF01093,0.1767
CSF01096,0.1696
CSF01101,0.1718
CSF01108,0.1869
CSF01289,0.2047
CSF01415,0.1386
CSF01489,0.1251
CSF01820,0.1343
CSF02307,0.1453
CSF02481,0.1783
CSF02680,0.1524
CSF02684,0.1635
CSF03293,0.1817
CSF03409,0.1721
CSF03411,0.1738
CSF03414,0.1863
CSF03416,0.1705
CSF03417,0.164
CSF03419,0.1602
CSF03421,0.1825
CSF03423,0.1525
CSF03425,0.1642
CSF03785,0.1408
CSF03788,0.148
CSF03884,0.1757
CSF03930,0.1592
CSF04052,0.2054
CSF04150,0.1859
CSF04183,0.1277
CSF04272,0.152
CSF04319,0.1272
CSF04369,0.1366
CSF04534,0.1971
CSF04540,0.1988
CSF04546,0.2009
CSF04548,0.2034
CSL008159,0.1527
CSLM1HTV,0.1634
CSLM1MUV,0.172
CSLM1OKV,0.1764
CSLM1OPV,0.1841
CSLM1SFV,0.1632
CSLM1VTV,0.1815
CSLM2BLA,0.1967
CSLM2OVE,0.1336
CSLM2PF1,0.1678
CSLM2PU2,0.1795
CSLM3AHG,0.1497
CSLM3LED,0.16
CSLM3NTF,0.203
CSLM3NYA,0.1778
CSLM4BP1,0.1435
CSLM4FT1,0.2024
CSLM4KFD,0.1576
CSLM4MKF,0.1834
CSLM4SG1,0.208
CSLM4UK1,0.1665
CSLMXKPB,0.1859
F00001,0.1696
F00002,0.1921
F00003,0.1848
F00004,0.1741
F00005,0.1768
F00006,0.1804
F00007,0.1753
F00008,0.1748
F00009,0.1843
F00010,0.1702
F00011,0.183
F00012,0.1823
F00013,0.1923
F00014,0.1238
F00015,0.123
F00016,0.1542
F00017,0.1424
F00018,0.1494
F00019,0.1367
F00020,0.1354
F00022,0.1488
F00023,0.1492
F00024,0.1497
F00025,0.1478
F00026,0.1573
F00027,0.1482
F00028,0.1412
F00029,0.1602
F00030,0.1483
F00031,0.1562
F00032,0.149
F00033,0.1242
F00034,0.1396
F00035,0.1401
F00036,0.1424
F00045,0.187
F00047,0.2115
F00048,0.1984
F00051,0.1821
F00052,0.1585
F00057,0.1897
F00066,0.1899
F00067,0.1904
F00069,0.1423
F00070,0.1521
F00071,0.1498
F00072,0.1562
F00073,0.1466
F00074,0.2027
F00076,0.2023
F00077,0.2023
F00078,0.1885
F00079,0.1915
F00080,0.1957
F00081,0.2119
F00082,0.1198
F00083,0.2054
F00084,0.2093
F00085,0.1664
F00086,0.1959
F00087,0.2069
F00088,0.1997
F00089,0.1288
F00090,0.1631
F00091,0.1424
F00092,0.1795
F00095,0.1726
F00096,0.21
F00098,0.2041
F00099,0.1998
F00102,0.1559
F00103,0.1969
F00104,0.1968
F00105,0.1929
F00106,0.1754
F00107,0.1857
F00108,0.2091
F00110,0.1948
F00111,0.1936
F00113,0.2026
F00114,0.1521
F00119,0.1268
F00120,0.1143
F00121,0.1259
F00122,0.113
F00123,0.1292
F00124,0.1583
F00125,0.1457
F00126,0.1259
F00127,0.1447
F00128,0.1292
F00129,0.1463
F00130,0.1482
F00131,0.1493
F00132,0.1473
F00133,0.1478
F00135,0.1476
F00136,0.152
F00137,0.149
F00138,0.1462
F00141,0.1569
F00142,0.1524
F00143,0.1342
F00144,0.161
F00147,0.1318
F00148,0.135
F00149,0.1402
F00150,0.1318
F00151,0.1458
F00152,0.1484
F00153,0.144
F00154,0.1392
F00155,0.1346
F00156,0.1351
F00157,0.1343
F00158,0.1374
F00159,0.1458
F00160,0.1458
F00161,0.1462
F00162,0.1414
F00163,0.1406
F00164,0.1481
F00165,0.1535
F00166,0.1458
F00167,0.1434
F00168,0.1373
F00169,0.1378
F00170,0.1458
F00171,0.1435
F00172,0.1387
F00173,0.1402
F00174,0.1506
F00175,0.1433
F00176,0.1328
F00177,0.1465
F00178,0.1402
F00179,0.1458
F00180,0.1402
F00181,0.145
F00182,0.1433
F00183,0.1669
F00184,0.1465
F00187,0.1633
F00188,0.1652
F00189,0.1675
F00191,0.1603
F00192,0.1573
F00193,0.1462
F00194,0.1442
F00195,0.1449
F00196,0.1423
F00198,0.1422
F00199,0.1541
F00201,0.1547
F00202,0.1447
F00203,0.1496
F00204,0.1469
F00205,0.1513
F00206,0.1496
F00207,0.1506
F00208,0.1547
F00209,0.1497
F00210,0.1496
F00211,0.1476
F00212,0.1513
F00213,0.1404
F00214,0.1429
F00215,0.1428
F00216,0.1456
F00217,0.137
F00218,0.1462
F00219,0.1429
F00220,0.1466
F00221,0.1446
F00222,0.1417
F00223,0.1432
F00224,0.1412
F00225,0.1447
F00226,0.1495
F00227,0.1453
F00228,0.1456
F00229,0.1474
F00230,0.1424
F00231,0.1498
F00232,0.1573
F00233,0.1437
F00234,0.1627
F00235,0.1692
F00236,0.1607
F00237,0.1624
F00239,0.1622
F00240,0.1526
F00241,0.1537
F00242,0.1611
F00243,0.1468
F00244,0.1638
F00245,0.147
F00246,0.1585
F00247,0.1487
F00248,0.1617
F00249,0.1454
F00250,0.1526
F00251,0.1442
F00252,0.1524
F00253,0.1442
F00254,0.1501
F00255,0.1431
F00256,0.1467
F00257,0.1501
F00258,0.1425
F00259,0.1603
F00260,0.1461
F00261,0.1589
F00262,0.1514
F00264,0.1542
F00265,0.1514
F00266,0.1644
F00267,0.1513
F00268,0.1496
F00269,0.1485
F00270,0.1476
F00271,0.1423
F00272,0.1473
F00273,0.1504
F00278,0.1557
F00279,0.1563
F00280,0.1419
F00281,0.1413
F00282,0.1439
F00283,0.1353
F00284,0.1405
F00285,0.1393
F00286,0.1373
F00287,0.1289
F00288,0.1371
F00289,0.1314
F00292,0.156
F00293,0.146
F00294,0.1433
F00295,0.1408
F00296,0.1428
F00297,0.1475
F00298,0.141
F00299,0.1456
F00300,0.1472
F00301,0.1392
F00302,0.1433
F00303,0.1319
F00304,0.1512
F00305,0.1542
F00307,0.1542
F00308,0.1532
F00310,0.151
F00311,0.1593
F00312,0.1591
F00313,0.1483
F00314,0.1782
F00315,0.1608
F00316,0.1879
F00317,0.1619
F00318,0.1731
