stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,gini_house_walk15,gini_house_multimodal,walk15_mean_price,multimodal_mean_price,gini_walk15,gini_multimodal,arpu_low_ratio_walk15,arpu_low_ratio_multimodal
008047,6.279,0.7835,32,2.235,8.657,7.395,8,16,29,8,46,10,45,21,37,220,2,5,13,3,16,3,13,6,20,81,3.549,2.73,Lajosmizsei sorompó,47.450468,19.16141,1029,0.0001057819968108,0.0014756517461878,0.0684696214468543,0.0018186004411777,0.1325,0.1313,0.423,0.432,0.113259,0.135681,0.399041,0.444793
008050,4.81,0.6405,32,1.611,4.158,6.265,7,18,34,11,39,7,65,22,65,268,3,9,7,4,26,4,16,14,14,97,3.264,1.5459999999999998,Liptó utca,47.4861,19.007031,1230,6.850348063055505e-07,0.0009837678307919,0.0558485797483654,0.0032185518809329,0.1629,0.1535,0.863,0.751,0.132901,0.156151,0.285554,0.322615
008067,9.558,0.0785,59,6.327,6.539,7.307,4,15,29,4,78,9,50,61,21,271,3,8,12,1,28,3,23,24,10,112,2.911,6.647,Szent Imre tér,47.430889,19.0703,1544,2.0428846998477675e-07,0.0024594195769798,0.058493497525607,0.0040583219198929,0.1371,0.1371,0.39,0.392,0.116964,0.114774,0.367061,0.374575
008087,17.817,0.508,135,13.544,3.581,5.137,166,98,180,87,264,64,1171,120,445,2595,38,20,42,21,82,12,223,25,106,569,3.771,14.046,Fény utcai piac,47.508464,19.023646,1267,0.0008084083617852,0.0059026069847515,0.0841961401474364,0.1806627076215421,0.1472,0.1517,0.781,0.804,0.217402,0.225296,0.454896,0.439033
008090,16.614,0.3496,93,12.872,1.68,3.641,136,97,232,50,222,68,1062,107,451,2425,24,14,42,12,51,19,159,20,139,480,3.197,13.417000000000002,Móricz Zsigmond körtér M,47.477256,19.048786,1301,0.0006183761624346,0.0039350713231677,0.0836006250514022,0.1147316697220299,0.1197,0.1846,0.727,0.807,0.195584,0.199094,0.505878,0.474084
008093,8.763,0.4923,44,9.921,10.259,9.4,5,8,25,3,40,9,28,16,14,148,0,2,8,0,19,1,10,1,3,44,2.429,6.334,Dél-pesti autóbuszgarázs,47.426707,19.161776,896,0.0005381030190523,0.0009837678307919,0.0807066296149265,0.007491410791391,0.1799,0.1716,0.399,0.372,0.130267,0.126013,0.25418,0.282645
008094,5.301,0.5695,29,2.622,10.254,9.413,5,5,15,2,34,8,17,16,10,112,0,1,7,0,17,0,12,0,3,40,2.334,2.967,Dél-pesti autóbuszgarázs,47.42616,19.16094,897,0.0005381030190523,0.0009837678307919,0.0807066296149265,0.007491410791391,0.1817,0.1532,0.399,0.388,0.132389,0.115257,0.234777,0.338318
008095,12.215,0.5787,58,8.378,10.113,9.33,5,10,35,6,56,14,31,22,21,200,0,2,3,0,6,0,14,0,4,29,1.801,10.414,Nagykőrösi út,47.425255,19.157029,895,0.0025274203150055,0.0059026069847515,0.0874935444999139,0.0843427089332602,0.196,0.1728,0.321,0.371,0.125925,0.126777,0.12453,0.290998
008098,8.489,0.1424,46,6.426,6.936,8.684,6,9,20,6,45,10,34,28,36,194,0,0,4,1,1,1,0,2,3,12,2.723,5.766000000000001,Szabina út,47.43645,19.013416,1580,2.1073280328686503e-06,0.0024594195769798,0.0602656073990632,0.0155220689092656,0.1592,0.214,0.546,0.529,0.113694,0.126157,0.094214,0.219651
008106,6.771,0.5272,33,4.69,6.445,7.894,9,18,23,6,71,10,63,29,35,264,1,10,10,3,33,5,25,13,21,121,2.872,3.899,Vihar utca,47.434282,19.035651,1503,1.424849206539867e-07,0.0019675356615838,0.0575806497295153,0.0005755872280574,0.1654,0.1997,0.504,0.551,0.12486,0.126095,0.340232,0.34264
