stop_id,arpu_low_ratio_walk15,arpu_low_ratio_multimodal
008924,0.27626294054420997,0.4306370429841897
008939,0.40052881239341354,0.3250834970963279
008943,0.11368695140901265,0.2652812949997517
008946,0.20806267088092145,0.23000017448048435
008947,0.18244000684007525,0.20819311286103287
008948,0.23841378104232247,0.1933815430295484
008949,0.23288438790545166,0.2164577028390258
008950,0.23017273212161,0.19593418595638235
008952,0.2369818176123283,0.22762358487434015
008953,0.36088797221016067,0.31244460962291665
008954,0.3560531225990561,0.3595444135946335
008955,0.3330494037478705,0.3417911965029989
008956,0.3349706017566358,0.3594038364744701
008957,0.3396191446972154,0.3786519666338749
008958,0.3377464727494076,0.390069898889224
008959,0.3622273635975651,0.3164659984607083
008960,0.30572409845449344,0.31373232739491536
008963,0.24571347883971437,0.3270873305687937
008967,0.26724729260637303,0.3114727867053741
008971,0.2557650685891347,0.24294005338298014
009025,0.4505670649051768,0.4478527343904328
009026,0.45009540737355636,0.45688736749906156
009039,0.46064525450239646,0.46401421790131914
009041,0.4826807328966424,0.48875480543834965
009042,0.4718319650069693,0.47141965371933214
009047,0.3366064414768264,0.348942916156872
009072,0.45573230497308587,0.392824329290702
009137,0.15095367847411445,0.19569995878554747
009138,0.16182825766434492,0.14247472931399577
009139,0.16380215993612643,0.23931244602245466
009140,0.16682093571188153,0.19300976631270733
009146,0.4956869013927516,0.4741194048830112
009147,0.3324172006484984,0.3787734941304766
009148,0.2660543268703271,0.3328439015013989
009153,0.38577712357538824,0.39440475681225134
009155,0.3405479967396075,0.42646941159526974
009161,0.4969570400573605,0.4800366094931709
009162,0.4953117272424479,0.4792032141008833
009163,0.49619791201742125,0.4792032141008833
009174,0.45664366776555715,0.4384319094090579
009179,0.5096101687060959,0.487788507592822
009208,0.29763576281042137,0.3118445212829379
009220,0.5045873103579812,0.479941368954657
009230,0.44706366841760825,0.46929416942829166
009234,0.22145912866652598,0.20407359619283813
009243,0.3390657842166519,0.3550525192383306
009289,0.41932856375117566,0.43446337124153456
009290,0.42402427214053995,0.4461495404656406
009295,0.419324590078533,0.4250248276416324
009309,0.4500899695359483,0.46928734493723046
009315,0.09564073656520104,0.3012825105681737
009318,0.47674145085768815,0.4522799367028607
009321,0.4956289047629711,0.4801481997336559
009322,0.48308466386031335,0.4366910236972147
009337,0.1870235934664247,0.31312672988792595
009338,0.18973475290787126,0.3270873305687937
009339,0.2632215929850201,0.3229053740126994
009349,0.09510632100203902,0.25224915723702573
009351,0.11276983094928478,0.16087333997877745
009352,0.119390391815641,0.36033095063882475
009353,0.12265103090306145,0.33830020347472217
009354,0.12540258677981697,0.371978146407745
009355,0.11635254385009261,0.3701035112644611
009356,0.11576210594735133,0.3963686317749239
009358,0.160817215319585,0.3140986013445638
009359,0.49170563660511196,0.48876741509757354
009373,0.33706463831490774,0.30205737184186093
009375,0.19288688275808397,0.2075740588147888
009377,0.3374252160425438,0.291827718051839
009379,0.19997051234795432,0.2300616109707277
009381,0.3342135424860103,0.3004632216434455
009382,0.2231124758112236,0.2798678585308978
009383,0.25474797409342637,0.28014787160823407
009392,0.28122798520605846,0.3307693139116368
009393,0.25753772348199594,0.33194633181992156
009394,0.25986459768737646,0.3414368818694986
009413,0.44988676181522946,0.4517356767699089
009415,0.43803414824883163,0.4237088499850468
009420,0.4932397976763097,0.4655243063767213
009421,0.16823757262750158,0.16527276183235126
009422,0.16589595375722543,0.2338674081920904
009429,0.23957517351939228,0.40996472164053804
009430,0.24018693281649067,0.4287073891705078
009431,0.11958043956672096,0.42204896134343817
009445,0.11472490029813762,0.25024994903951625
009446,0.23320901133936897,0.18612427840615764
009447,0.21759745521111545,0.18731831824734715
009448,0.18919415040078322,0.21903083359157113
009449,0.15623888383858345,0.2524989193862114
009451,0.24690956937021818,0.1855874170768243
009452,0.25059097929208557,0.21079014443500427
009454,0.23205598857080853,0.31655030223513425
009455,0.23634215071357148,0.3151790753895143
009456,0.24619270757065456,0.2190577160940035
009458,0.2291530370892255,0.20782331027142095
009459,0.22153691864109312,0.2612627881178356
009460,0.22923511441581645,0.19435301458544574
009461,0.22930574098798398,0.21880958759474922
009462,0.07389250378821641,0.1511347273206644
009463,0.09116797526544891,0.1691426735030749
009465,0.3210011072640034,0.3078399346672111
009466,0.32118577357950484,0.3159356562721101
009467,0.307849255880941,0.2658011360089882
