stop_id,cultural_institutions,drugstores,groceries,healthcare,parks,religious_organizations,restaurants,schools,services,costing,range
008697,3,4,11,0,11,4,22,7,16,walk,5
008702,1,3,8,3,5,2,17,9,10,walk,5
008708,0,0,0,0,1,0,0,0,0,walk,5
008725,1,2,4,0,1,2,10,4,7,walk,5
008731,0,2,1,2,6,2,3,2,4,walk,5
008736,1,0,1,1,0,0,3,1,1,walk,5
008737,1,1,1,1,0,0,3,2,1,walk,5
008750,2,2,3,2,14,4,23,4,11,walk,5
008754,1,3,8,0,2,1,5,1,7,walk,5
008782,3,9,18,3,3,5,86,5,22,walk,5
008785,1,2,4,0,1,2,11,4,7,walk,5
008788,0,0,0,1,1,0,3,1,5,walk,5
008789,0,0,0,1,1,0,3,1,4,walk,5
008792,1,0,0,0,4,0,7,2,0,walk,5
008793,0,0,1,0,2,0,0,1,1,walk,5
008832,2,1,1,0,4,3,2,3,1,walk,5
008841,0,0,0,0,1,0,1,0,0,walk,5
008844,0,1,3,1,13,0,4,3,6,walk,5
008850,0,2,0,1,4,0,0,1,0,walk,5
008863,0,0,5,0,8,1,3,3,0,walk,5
008893,0,1,1,0,3,0,2,3,0,walk,5
008894,0,1,1,0,4,0,4,2,0,walk,5
008895,0,1,1,0,5,0,4,1,0,walk,5
008896,0,1,1,0,2,0,0,2,0,walk,5
008898,1,1,3,0,7,1,4,4,6,walk,5
008903,0,0,3,0,9,0,3,1,0,walk,5
008904,0,1,1,0,3,0,2,0,2,walk,5
008910,0,1,4,2,5,0,0,0,0,walk,5
008911,0,1,5,2,8,0,0,0,0,walk,5
008918,0,0,2,0,0,0,0,0,1,walk,5
008921,0,0,1,0,0,0,7,0,1,walk,5
008922,0,0,2,0,2,0,0,4,1,walk,5
008939,1,8,9,0,24,1,14,2,8,walk,5
008943,0,0,2,0,0,0,0,0,1,walk,5
008946,0,0,0,0,2,0,0,2,0,walk,5
008947,0,1,1,0,0,0,2,0,0,walk,5
008948,0,2,2,3,1,0,5,4,2,walk,5
008949,1,2,8,0,2,1,5,1,6,walk,5
008950,1,3,8,0,2,1,5,1,7,walk,5
008952,0,0,2,0,2,1,0,5,1,walk,5
008953,0,0,1,0,1,0,0,1,0,walk,5
008954,0,0,1,0,1,0,0,1,0,walk,5
008955,0,0,1,0,1,0,0,0,0,walk,5
008956,0,0,1,0,1,0,0,0,0,walk,5
008957,0,0,2,0,3,0,0,0,0,walk,5
008958,0,0,0,0,1,0,0,0,0,walk,5
008959,0,1,2,0,1,0,2,1,1,walk,5
008960,0,0,0,0,2,0,1,1,0,walk,5
008963,0,0,1,0,0,0,3,1,0,walk,5
008967,0,0,1,0,1,1,1,0,0,walk,5
008971,0,1,3,0,2,0,2,4,2,walk,5
009025,23,6,15,4,2,2,144,1,52,walk,5
009026,23,6,13,5,2,2,143,1,53,walk,5
009039,3,8,15,4,8,2,34,3,41,walk,5
009041,0,2,2,1,5,0,24,0,10,walk,5
009042,2,2,1,1,4,0,25,1,6,walk,5
009047,0,0,1,0,4,0,0,0,0,walk,5
009072,0,1,0,0,3,0,0,0,0,walk,5
009137,0,0,0,0,1,0,0,1,0,walk,5
009138,0,0,1,0,1,0,0,1,0,walk,5
009139,0,0,1,0,0,0,0,0,0,walk,5
009140,0,0,1,0,1,0,0,0,0,walk,5
009146,0,3,8,1,4,2,10,2,8,walk,5
009147,0,0,2,0,3,0,0,1,0,walk,5
009148,0,1,1,0,2,0,4,0,0,walk,5
009153,0,2,4,1,9,1,9,4,6,walk,5
009154,0,0,0,0,11,0,1,0,0,walk,5
009155,0,0,0,0,18,0,1,0,0,walk,5
