stop_id,cultural_institutions,drugstores,groceries,healthcare,parks,religious_organizations,restaurants,schools,services,costing,range
F03395,3,7,19,5,37,6,19,17,19,public_transport,
F03396,3,10,21,6,41,9,21,22,20,public_transport,
F03397,5,13,30,7,67,12,26,27,25,public_transport,
F03398,3,6,18,5,33,6,17,17,19,public_transport,
F03399,3,5,12,5,23,3,11,9,17,public_transport,
F03400,3,10,17,6,29,6,18,17,20,public_transport,
F03401,4,9,16,6,27,8,14,11,16,public_transport,
F03402,3,9,15,5,29,3,18,18,19,public_transport,
F03403,3,5,12,5,23,3,11,9,17,public_transport,
F03404,5,7,10,5,19,6,15,11,7,public_transport,
F03405,1,2,6,2,10,4,6,9,4,public_transport,
F03406,2,4,15,3,29,6,7,14,17,public_transport,
F03407,1,11,26,3,58,4,15,17,22,public_transport,
F03408,2,12,27,6,64,6,21,20,18,public_transport,
F03427,2,9,14,2,34,9,19,21,13,public_transport,
F03428,1,5,10,3,18,9,14,16,2,public_transport,
F03429,1,5,10,3,20,9,16,19,2,public_transport,
F03430,1,2,9,3,11,6,8,15,1,public_transport,
F03431,1,5,11,3,18,9,16,16,2,public_transport,
F03432,2,3,9,3,17,7,9,16,3,public_transport,
F03433,0,6,12,4,17,6,9,6,17,public_transport,
F03434,0,0,1,0,5,4,1,3,1,public_transport,
F03435,1,6,12,7,22,7,12,9,17,public_transport,
F03436,0,0,1,0,5,4,1,3,1,public_transport,
F03437,1,12,23,11,31,4,24,17,25,public_transport,
F03438,1,11,20,11,26,6,21,14,24,public_transport,
F03439,1,8,15,8,27,7,21,15,20,public_transport,
F03440,0,0,6,0,8,5,2,3,1,public_transport,
F03441,2,3,13,2,15,9,7,7,0,public_transport,
F03442,2,3,13,2,15,9,7,8,0,public_transport,
F03443,2,3,9,2,13,6,6,8,0,public_transport,
F03444,0,0,1,0,5,4,1,3,1,public_transport,
F03445,0,0,3,0,5,4,2,3,1,public_transport,
F03446,3,14,25,10,36,13,27,25,23,public_transport,
F03447,3,11,20,9,28,7,18,17,19,public_transport,
F03448,2,3,12,2,16,10,7,8,1,public_transport,
F03449,5,13,17,12,34,7,22,22,24,public_transport,
F03450,4,12,23,11,36,8,29,26,21,public_transport,
F03451,5,12,14,12,30,7,21,17,22,public_transport,
F03452,3,14,25,9,35,10,24,20,24,public_transport,
F03453,5,12,15,12,34,7,22,22,23,public_transport,
F03454,2,14,22,9,32,13,28,22,25,public_transport,
F03455,3,12,17,9,31,8,19,22,20,public_transport,
F03456,3,10,13,9,25,7,14,16,16,public_transport,
F03457,3,10,18,9,25,7,18,17,17,public_transport,
F03458,3,11,19,9,29,7,21,17,19,public_transport,
F03459,3,14,28,13,39,15,27,28,25,public_transport,
F03460,2,3,9,2,14,8,6,8,1,public_transport,
F03461,2,3,10,2,16,9,7,9,1,public_transport,
F03462,2,3,9,2,13,6,7,8,0,public_transport,
F03463,2,10,16,6,22,5,15,13,15,public_transport,
F03464,3,11,19,6,24,7,18,15,19,public_transport,
F03465,2,9,13,6,19,6,14,9,14,public_transport,
F03466,3,11,19,9,27,7,17,16,19,public_transport,
F03468,3,10,16,9,26,7,15,16,16,public_transport,
F03469,3,10,16,9,26,7,15,16,16,public_transport,
F03471,4,11,16,10,28,7,19,15,20,public_transport,
F03472,3,12,18,6,26,7,20,14,21,public_transport,
F03473,3,15,28,13,41,18,30,29,27,public_transport,
F03474,1,13,27,9,38,12,27,21,24,public_transport,
F03475,1,13,25,12,34,11,25,21,24,public_transport,
F03476,1,14,24,11,38,10,29,23,25,public_transport,
F03477,1,13,23,12,36,11,26,20,23,public_transport,
F03478,2,10,17,11,30,9,20,15,21,public_transport,
F03479,1,12,24,11,33,9,24,22,23,public_transport,
F03480,1,9,17,10,28,7,23,16,22,public_transport,
F03481,1,11,20,11,32,8,21,20,22,public_transport,
F03482,0,9,21,8,24,8,19,13,22,public_transport,
F03483,1,11,23,11,35,8,23,21,22,public_transport,
F03484,0,8,17,7,22,6,16,13,19,public_transport,
F03485,0,0,3,0,5,4,1,3,1,public_transport,
F03486,1,12,19,12,34,10,24,20,23,public_transport,
F03487,2,10,18,11,28,8,22,15,23,public_transport,
F03488,1,10,20,12,28,9,21,15,22,public_transport,
F03489,1,10,17,11,29,9,23,15,23,public_transport,
F03490,1,9,20,8,26,8,19,12,22,public_transport,
F03491,1,8,17,10,25,7,20,14,21,public_transport,
F03492,1,11,20,11,31,8,21,19,22,public_transport,
F03493,1,4,12,4,16,6,12,9,8,public_transport,
F03494,2,10,19,11,29,9,22,15,23,public_transport,
F03495,2,10,18,11,28,8,19,13,24,public_transport,
F03496,1,10,20,8,26,8,20,12,24,public_transport,
F03498,1,4,12,4,16,6,12,9,8,public_transport,
F03499,2,11,20,11,29,8,22,15,24,public_transport,
F03500,1,3,12,4,11,5,10,7,5,public_transport,
F03501,1,3,9,4,9,3,8,6,5,public_transport,
F03502,1,3,11,4,11,4,8,7,5,public_transport,
F03503,1,3,10,4,9,3,8,6,5,public_transport,
F03504,1,3,11,4,9,3,8,6,5,public_transport,
F03505,1,3,10,4,10,4,8,7,5,public_transport,
F03506,1,4,12,4,11,3,11,6,7,public_transport,
F03507,1,3,11,4,10,3,8,6,5,public_transport,
F03508,1,11,20,11,24,5,21,13,24,public_transport,
F03509,1,10,18,8,24,7,19,11,23,public_transport,
F03510,1,12,22,11,29,4,22,17,25,public_transport,
F03511,2,11,20,11,28,6,21,14,24,public_transport,
F03512,1,13,25,11,30,6,25,18,27,public_transport,
F03513,1,13,24,12,29,6,23,16,26,public_transport,
F03514,1,14,24,11,29,6,29,19,27,public_transport,
F03515,1,12,22,11,29,4,22,17,25,public_transport,
F03516,4,12,18,11,29,14,21,21,20,public_transport,
F03517,4,14,23,13,39,16,27,27,25,public_transport,
F03518,3,13,19,11,32,14,22,22,23,public_transport,
F03519,3,12,16,11,30,12,18,22,18,public_transport,
F03520,2,8,12,7,21,8,12,15,17,public_transport,
F03521,2,7,12,7,17,7,11,13,14,public_transport,
F03522,2,8,13,7,19,7,11,15,15,public_transport,
F03523,2,9,14,7,21,7,12,15,15,public_transport,
F03524,2,11,19,9,28,12,17,21,20,public_transport,
F03525,3,12,21,9,31,14,19,22,21,public_transport,
F03526,3,11,17,11,32,10,16,24,19,public_transport,
F03528,3,10,16,11,30,10,13,22,19,public_transport,
F03529,3,10,21,8,28,10,16,20,18,public_transport,
F03530,3,10,18,11,32,11,17,24,21,public_transport,
F03531,3,9,17,11,32,11,14,22,21,public_transport,
F03532,2,8,17,8,27,9,13,18,18,public_transport,
F03533,2,3,11,4,20,9,8,17,7,public_transport,
F03534,3,5,14,4,20,10,9,15,5,public_transport,
F03535,2,4,13,4,17,9,9,16,5,public_transport,
F03536,3,7,18,8,27,11,12,19,13,public_transport,
F03537,2,4,14,4,17,9,8,14,5,public_transport,
F03538,3,7,17,8,27,11,12,19,13,public_transport,
F03541,4,14,27,11,39,14,29,22,25,public_transport,
F03542,2,18,32,14,43,19,36,30,29,public_transport,
F03543,1,12,21,10,29,8,21,17,24,public_transport,
F03544,2,13,24,11,36,11,26,22,24,public_transport,
F03545,3,15,31,11,41,18,32,26,27,public_transport,
F03546,2,12,21,10,30,8,24,17,26,public_transport,
F03547,3,14,26,11,39,13,29,21,25,public_transport,
F03549,1,13,22,10,31,8,25,18,24,public_transport,
F03550,1,11,20,10,28,7,21,16,24,public_transport,
F03551,1,6,17,7,22,5,14,12,14,public_transport,
F03552,1,4,12,3,13,4,12,8,6,public_transport,
F03553,1,11,20,9,25,5,16,13,23,public_transport,
F03554,3,7,18,8,28,11,12,19,14,public_transport,
F03556,0,2,10,1,3,1,6,2,1,public_transport,
F03557,0,3,12,2,10,2,8,6,4,public_transport,
F03558,1,4,13,2,14,3,9,8,5,public_transport,
F03559,1,6,18,6,21,4,11,12,15,public_transport,
F03561,2,2,6,3,11,7,6,11,3,public_transport,
F03562,1,3,10,3,14,6,12,16,2,public_transport,
F03563,2,8,13,7,19,7,12,15,15,public_transport,
F03564,0,3,9,3,14,7,13,14,2,public_transport,
F03565,2,8,15,7,21,7,14,13,14,public_transport,
F03566,1,12,18,12,31,10,22,19,23,public_transport,
F03567,2,9,18,11,27,9,17,14,22,public_transport,
F03568,1,3,12,4,12,5,10,7,6,public_transport,
F03569,1,3,9,4,9,3,8,6,5,public_transport,
F03570,1,4,12,4,11,3,11,6,7,public_transport,
F03571,1,3,10,4,9,3,8,6,5,public_transport,
F03572,3,11,18,9,28,7,20,16,19,public_transport,
F03573,2,9,15,6,21,7,14,10,16,public_transport,
F03574,1,4,12,4,15,6,12,8,8,public_transport,
F03575,1,3,10,4,10,4,8,7,5,public_transport,
F03576,2,9,13,6,19,6,14,10,14,public_transport,
F03577,3,10,17,9,26,7,17,15,17,public_transport,
F03578,2,3,9,2,13,7,7,8,0,public_transport,
F03579,3,9,15,9,24,7,14,11,16,public_transport,
F03580,2,3,10,2,16,8,7,8,0,public_transport,
F03581,2,9,15,6,20,6,13,9,16,public_transport,
F03582,2,3,9,2,13,6,6,7,0,public_transport,
F03583,2,3,12,2,16,10,8,9,1,public_transport,
F03585,1,4,12,4,11,3,11,6,7,public_transport,
F03586,1,3,12,4,9,3,9,6,5,public_transport,
F03587,4,11,16,11,27,13,18,21,18,public_transport,
F03588,4,13,20,12,34,15,22,24,24,public_transport,
F03589,2,8,13,7,19,7,12,14,15,public_transport,
F03590,2,11,19,9,31,13,17,21,21,public_transport,
F03591,2,10,16,8,26,8,13,20,18,public_transport,
F03592,2,3,9,3,15,7,9,15,3,public_transport,
F03593,3,17,33,16,47,21,36,35,29,public_transport,
F03594,4,15,28,11,39,17,34,25,27,public_transport,
F03595,3,12,19,11,26,12,17,19,20,public_transport,
F03596,2,3,9,3,16,7,9,17,3,public_transport,
F03597,2,9,15,8,23,7,13,18,18,public_transport,
F03598,0,3,8,2,12,4,6,5,0,public_transport,
F03599,2,3,10,2,16,9,7,9,1,public_transport,
F03600,1,5,10,3,21,9,16,19,3,public_transport,
F03601,0,3,9,3,14,7,13,14,2,public_transport,
F03602,1,10,18,8,24,7,19,11,24,public_transport,
F03603,2,9,20,11,28,9,18,14,22,public_transport,
F03604,3,11,19,9,29,7,21,17,19,public_transport,
F03605,4,18,34,15,44,20,34,31,29,public_transport,
F03610,3,16,35,15,45,18,33,32,28,public_transport,
F03620,5,5,17,3,36,7,20,17,10,public_transport,
F03621,5,9,19,3,40,7,19,15,20,public_transport,
F03623,4,9,19,3,42,9,23,21,12,public_transport,
F03624,5,7,23,2,44,7,24,21,22,public_transport,
F03625,4,6,22,3,35,6,26,15,14,public_transport,
F03626,5,7,21,3,41,7,23,20,22,public_transport,
F03631,3,7,26,3,37,6,20,10,12,public_transport,
F03632,3,8,27,3,33,8,23,13,16,public_transport,
F03633,3,7,18,2,41,6,22,21,12,public_transport,
F03634,4,9,29,4,55,13,32,30,17,public_transport,
F03635,2,7,17,3,34,7,22,17,13,public_transport,
F03636,2,4,13,1,24,6,14,12,9,public_transport,
F03637,2,7,15,2,42,4,21,20,8,public_transport,
F03638,3,7,19,1,38,9,20,18,11,public_transport,
F03639,3,7,17,1,44,8,22,21,11,public_transport,
F03640,3,6,16,1,34,10,18,18,12,public_transport,
F03641,3,7,20,1,28,7,19,11,16,public_transport,
F03642,2,5,16,2,34,7,21,16,13,public_transport,
F03643,2,4,13,1,24,6,14,12,9,public_transport,
F03644,1,4,16,1,20,5,16,8,16,public_transport,
F03645,1,4,16,1,24,5,17,9,16,public_transport,
F03646,3,7,20,1,26,7,20,12,15,public_transport,
F03647,1,4,15,1,23,4,13,8,15,public_transport,
F03648,2,7,18,1,22,6,18,9,17,public_transport,
F03649,1,4,17,1,26,5,17,11,17,public_transport,
F03650,1,4,18,1,21,4,13,9,16,public_transport,
F03651,1,5,17,1,24,5,18,10,16,public_transport,
F03652,1,4,16,1,20,4,12,8,16,public_transport,
F03653,1,5,18,1,24,5,18,10,15,public_transport,
F03654,1,4,17,1,20,4,13,9,15,public_transport,
F03655,1,4,17,1,24,5,14,9,15,public_transport,
F03656,1,3,14,1,14,4,10,5,12,public_transport,
F03657,1,3,14,1,6,3,10,3,9,public_transport,
