stop_id,gini_walk15,gini_multimodal,arpu_low_ratio_walk15,arpu_low_ratio_multimodal
008241,0.148244,0.181880,0.460575,0.470982
008242,0.168606,0.192836,0.476698,0.468692
008243,0.150549,0.128160,0.187607,0.317907
008245,0.122686,0.124969,0.398739,0.421092
008246,0.135925,0.127619,0.420006,0.404432
008260,0.132338,0.136004,0.240975,0.313113
008261,0.133143,0.140091,0.239933,0.290260
008262,0.190996,0.195505,0.481671,0.477865
008265,0.169868,0.200241,0.446150,0.447472
008269,0.218120,0.237202,0.489931,0.485533
008270,0.218613,0.239222,0.488858,0.449751
008272,0.159034,0.181510,0.422488,0.445306
008283,0.123111,0.133589,0.253687,0.325131
008284,0.123775,0.134501,0.275690,0.332043
008286,0.214807,0.194729,0.457993,0.484618
008287,0.216248,0.214619,0.462941,0.485905
008289,0.122909,0.130439,0.334825,0.389675
008336,0.133395,0.134748,0.256339,0.270373
008337,0.134984,0.143085,0.264311,0.274806
008341,0.108251,0.116549,0.467374,0.430297
008344,0.190826,0.205609,0.418300,0.414362
008353,0.116989,0.116657,0.429757,0.425602
008379,0.151356,0.150723,0.434372,0.399261
008380,0.151288,0.148230,0.427428,0.412953
008382,0.163728,0.146741,0.481053,0.439342
008383,0.163950,0.151216,0.479729,0.445431
008399,0.124186,0.134635,0.226587,0.209708
008402,0.125194,0.128236,0.331772,0.348187
008403,0.125273,0.121571,0.332149,0.292571
008404,0.125199,0.126891,0.248374,0.325594
008405,0.125912,0.124333,0.242422,0.311185
008406,0.113011,0.123239,0.179912,0.315528
008407,0.110401,0.112660,0.180386,0.266153
008408,0.115041,0.116292,0.096052,0.278849
008409,0.113730,0.116897,0.106543,0.256245
008410,0.058411,0.104658,0.042835,0.223834
008411,0.054384,0.117661,0.041154,0.241342
008412,0.145828,0.175232,0.340486,0.363527
008426,0.134707,0.138742,0.351346,0.389290
008440,0.125036,0.123258,0.446960,0.415146
008455,0.249461,0.252982,0.459778,0.453675
008458,0.133313,0.181431,0.468264,0.473074
008459,0.129355,0.131193,0.466012,0.461960
008460,0.128948,0.147960,0.466931,0.465807
008461,0.129334,0.130956,0.465988,0.459948
008481,0.120586,0.128879,0.342430,0.369221
008490,0.146785,0.142842,0.422845,0.428436
008491,0.136903,0.129556,0.220111,0.260195
008498,0.132697,0.148710,0.367198,0.443388
008499,0.133896,0.162699,0.446538,0.451359
008500,0.143007,0.195973,0.441452,0.449194
008501,0.221972,0.206316,0.494626,0.493476
008519,0.197331,0.192267,0.416656,0.410355
008521,0.184390,0.197466,0.421130,0.403389
008535,0.028245,0.117625,0.018523,0.232506
008544,0.194005,0.197361,0.397951,0.414927
008545,0.156565,0.224710,0.477013,0.476387
008546,0.228770,0.222349,0.490827,0.487283
008559,0.157584,0.162919,0.333437,0.322911
008560,0.166376,0.172533,0.334828,0.363450
008567,0.148991,0.141067,0.327639,0.375070
008569,0.030409,0.117034,0.020000,0.253275
008575,0.134478,0.143008,0.420486,0.432898
008577,0.127854,0.123725,0.222906,0.229441
008587,0.128663,0.135000,0.360246,0.355461
008588,0.128449,0.129097,0.353716,0.296164
008589,0.154623,0.147435,0.435796,0.453295
008590,0.219057,0.227326,0.491434,0.478363
008591,0.220251,0.228692,0.492237,0.482518
008593,0.194015,0.198119,0.500379,0.475587
008605,0.191698,0.187891,0.388318,0.405270
008644,0.140211,0.120739,0.119078,0.180710
008645,0.140697,0.114750,0.115312,0.233873
008692,0.116709,0.149509,0.313615,0.394688
008697,0.135902,0.145191,0.468981,0.421965
008702,0.221532,0.205777,0.495044,0.481991
008708,0.136138,0.126596,0.119623,0.273410
008725,0.161236,0.223668,0.479261,0.477098
008731,0.133256,0.203625,0.364061,0.402942
008736,0.138631,0.193508,0.343438,0.430838
008737,0.138619,0.226016,0.344555,0.431435
008750,0.227563,0.241419,0.459139,0.453059
008754,0.124527,0.133582,0.229128,0.205834
008782,0.255211,0.243729,0.474072,0.472953
008785,0.159650,0.224378,0.479002,0.476654
008788,0.161538,0.137214,0.119156,0.157233
008789,0.153925,0.131187,0.117218,0.165834
008792,0.075740,0.119471,0.046734,0.120425
008793,0.102269,0.117465,0.231938,0.229836
008832,0.119100,0.133982,0.369168,0.272560
008841,0.145371,0.137634,0.309526,0.343411
008842,0.113863,0.136370,0.238620,0.334471
008844,0.121886,0.130347,0.411603,0.426794
008850,0.114133,0.143201,0.343768,0.355363
008863,0.144095,0.148056,0.429139,0.424220
008893,0.121801,0.119030,0.445412,0.456842
008894,0.122410,0.117945,0.459620,0.443123
008895,0.122164,0.117626,0.464311,0.438111
008896,0.120891,0.118676,0.470472,0.422001
008898,0.122911,0.117927,0.455767,0.436021
008903,0.134214,0.137339,0.428719,0.321159
008904,0.135457,0.132920,0.216835,0.236785
008910,0.147992,0.139406,0.358158,0.389559
008911,0.144998,0.139316,0.334789,0.365253
008918,0.110623,0.129041,0.107126,0.222256
008921,0.131860,0.122004,0.237320,0.301204
008922,0.125240,0.129513,0.253788,0.238486
008923,0.097979,0.172734,0.280583,0.437925
008924,0.099770,0.171534,0.276263,0.430637
008939,0.131942,0.129750,0.400529,0.325083
008943,0.108675,0.147837,0.113687,0.265281
008946,0.138739,0.139389,0.208063,0.230000
008947,0.127370,0.134670,0.182440,0.208193
008948,0.156907,0.137656,0.238414,0.193382
008949,0.124341,0.133389,0.232884,0.216458
008950,0.125879,0.129657,0.230173,0.195934
008952,0.122079,0.132925,0.236982,0.227624
008953,0.097824,0.126183,0.360888,0.312445
008954,0.093315,0.110828,0.356053,0.359544
008955,0.098683,0.116182,0.333049,0.341791
