stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality
008023,11.641,0.4034,140,10.354,5.745,3.613,5,30,46,11,122,11,95,53,73,1,9,8,4,52,2,25,16,24,2.639,9.002,Örs vezér tere M+H,47.501472,19.136134,726,0.5442157530461749,0.008853910477127398,0.08362469663938135,0.22770854490374898
008024,10.971,0.4431,132,10.059,5.742,3.612,5,30,47,11,122,11,92,53,74,1,9,9,4,51,2,23,17,22,2.597,8.374,Örs vezér tere M+H,47.501148,19.136213,726,0.5442157530461749,0.008853910477127398,0.08362469663938135,0.22770854490374898
008025,11.408,0.4121,137,10.152,5.737,3.604,5,30,46,11,122,11,93,53,73,1,9,8,4,53,2,25,18,24,2.584,8.824,Örs vezér tere M+H,47.501778,19.135922,726,0.5442157530461749,0.008853910477127398,0.08362469663938135,0.22770854490374898
008026,10.996,0.4583,133,10.051,5.734,3.603,5,30,46,11,122,11,92,53,73,1,8,8,4,50,2,23,15,23,2.538,8.458,Örs vezér tere M+H,47.501355,19.136028,726,0.5442157530461749,0.008853910477127398,0.08362469663938135,0.22770854490374898
008028,10.963,0.4445,131,10.057,5.717,3.587,5,30,46,11,122,11,92,53,73,1,8,8,4,51,2,21,16,22,2.472,8.491,Örs vezér tere M+H,47.501112,19.135882,726,0.5442157530461749,0.008853910477127398,0.08362469663938135,0.22770854490374898
008029,10.963,0.4445,131,10.057,5.73,3.595,5,30,46,11,122,11,92,53,73,1,10,12,4,54,2,26,18,24,2.661,8.302,Örs vezér tere M+H,47.502111,19.135697,726,0.5442157530461749,0.008853910477127398,0.08362469663938135,0.22770854490374898
008030,12.147,0.3019,145,9.737,5.713,3.579,5,31,51,11,134,11,94,56,76,1,9,8,4,53,2,24,16,24,2.477,9.67,Örs vezér tere M+H,47.501742,19.135604,726,0.5442157530461749,0.008853910477127398,0.08362469663938135,0.22770854490374898
008036,5.045,0.8118,49,2.159,3.193,1.445,19,22,75,12,60,29,107,28,46,7,4,13,0,15,3,18,9,2,2.385,2.66,Kőbányai út 31.,47.487461,19.104252,610,0.0016552909751423807,0.001967535661583866,0.07942336992616322,0.00020088774335868148
008037,4.343,0.7127,44,1.525,3.153,1.414,13,12,44,4,43,15,50,20,19,7,4,12,0,16,3,18,10,2,2.348,1.995,Kőbányai út 31.,47.487452,19.103721,610,0.0016552909751423807,0.001967535661583866,0.07942336992616322,0.00020088774335868148
008040,4.259,0.6491,51,1.187,1.998,4.083,26,18,47,17,58,20,166,27,151,24,14,39,15,39,19,145,23,140,2.979,1.2800000000000002,Tas vezér utca,47.478606,19.040827,1312,0.00012667972026228694,0.000983767830791933,0.07732684188505572,0.004310135341834742
008041,4.751,0.5994,57,1.474,1.982,4.071,26,18,47,19,67,20,171,29,154,25,14,39,16,41,18,144,23,140,3.008,1.7430000000000003,Tas vezér utca,47.478849,19.040827,1312,0.00012667972026228694,0.000983767830791933,0.07732684188505572,0.004310135341834742
008047,4.807,0.7444,45,1.352,8.657,7.395,8,14,24,5,38,8,44,17,34,2,5,13,3,16,3,13,6,20,3.549,1.2580000000000005,Lajosmizsei sorompó,47.450468,19.16141,1029,0.00010578199681088264,0.0014756517461878996,0.06846962144685437,0.0018186004411777238
008050,4.206,0.645,43,1.226,4.158,6.265,3,11,20,7,35,5,35,17,40,3,9,7,4,26,4,16,14,14,3.264,0.9420000000000006,Liptó utca,47.4861,19.007031,1230,6.850348063055505e-07,0.000983767830791933,0.055848579748365476,0.0032185518809329057
008051,3.709,0.6987,47,0.65,4.156,6.263,7,19,31,11,34,7,66,23,58,3,9,7,4,26,4,16,14,14,3.223,0.4860000000000002,Liptó utca,47.48601,19.007071,1230,6.850348063055505e-07,0.000983767830791933,0.055848579748365476,0.0032185518809329057
008067,7.144,0.4147,84,3.762,6.539,7.307,4,12,26,4,65,7,44,51,18,3,8,12,1,28,3,23,24,10,2.911,4.2330000000000005,Szent Imre tér,47.430889,19.0703,1544,2.0428846998477672e-07,0.002459419576979833,0.05849349752560709,0.004058321919892904
008087,11.189,0.4899,160,5.442,3.581,5.137,118,63,119,67,197,41,727,82,295,38,20,42,21,82,12,223,25,106,3.771,7.418,Fény utcai piac,47.508464,19.023646,1267,0.0008084083617852665,0.005902606984751598,0.08419614014743643,0.18066270762154213
008090,10.629,0.3417,113,5.02,1.68,3.641,79,54,129,30,163,47,586,65,286,24,14,42,12,51,19,159,20,139,3.197,7.4319999999999995,Móricz Zsigmond körtér M,47.477256,19.048786,1301,0.0006183761624346146,0.003935071323167732,0.08360062505140226,0.11473166972202992
008093,7.533,0.4846,53,8.72,10.259,9.4,3,4,23,3,35,6,25,10,10,0,2,8,0,19,1,10,1,3,2.429,5.104000000000001,Dél-pesti autóbuszgarázs,47.426707,19.161776,896,0.0005381030190523093,0.000983767830791933,0.08070662961492656,0.007491410791391094
