stop_id,distance_from_largest_betweenness_centroid,distance_from_largest_betweenness_medoid,distance_from_landuse_centroid
009445,6.884,6.887,8.524
009446,10.735,10.737,12.359
009447,10.838,10.839,12.497
009448,10.609,10.61,12.285
009449,10.218,10.218,11.941
009451,8.561,8.567,10.032
009452,8.728,8.734,10.213
009453,8.779,8.786,10.237
009454,8.61,8.618,10.029
009455,8.458,8.466,9.834
009456,8.626,8.631,10.156
009457,8.682,8.687,10.198
009458,8.421,8.425,10.022
009459,8.471,8.475,10.061
009460,8.174,8.177,9.831
009461,8.228,8.23,9.876
009462,7.234,7.234,9.014
009463,7.191,7.191,8.961
009465,7.005,7.012,8.458
009466,7.011,7.018,8.466
009467,6.787,6.792,8.322
009468,6.795,6.8,8.331
009469,6.794,6.798,8.37
009470,6.799,6.803,8.374
009471,8.226,8.235,9.579
009472,8.362,8.37,9.785
009473,8.194,8.203,9.549
009474,7.836,7.846,9.179
009475,6.017,6.024,7.527
009480,10.735,10.767,9.616
009481,4.833,4.839,3.144
009482,17.781,17.81,15.869
009483,16.552,16.578,14.519
009484,16.192,16.219,14.17
009485,15.924,15.951,13.907
009486,15.37,15.397,13.364
009487,14.856,14.883,12.852
009491,13.239,13.267,11.297
009492,13.252,13.28,11.311
009493,12.931,12.959,10.986
009494,12.963,12.991,10.996
009495,5.504,5.504,4.104
009498,6.78,6.799,4.641
009499,6.889,6.908,4.751
009500,7.229,7.248,5.094
009501,7.395,7.413,5.261
009503,10.32,10.316,8.981
009504,10.348,10.345,9.01
009508,5.207,5.176,6.648
009509,5.204,5.172,6.649
009510,5.283,5.251,6.809
009511,5.297,5.266,6.82
009512,5.158,5.127,6.472
009513,5.194,5.163,6.591
009514,5.15,5.118,6.512
009515,9.337,9.332,8.077
009516,9.32,9.315,8.057
009520,2.904,2.876,4.974
009521,2.888,2.861,4.961
009522,3.28,3.253,5.342
009524,5.744,5.749,7.329
009534,10.114,10.115,11.806
009536,12.942,12.936,11.741
009537,0.837,0.806,2.873
009538,6.719,6.719,5.251
009539,11.703,11.687,11.243
009540,5.341,5.31,6.907
009541,6.238,6.246,7.711
009543,12.683,12.71,10.702
009544,15.684,15.711,13.673
009546,8.437,8.437,10.188
009548,6.898,6.901,8.538
009549,13.566,13.594,11.628
009550,13.561,13.59,11.624
009551,10.661,10.692,9.556
009554,6.917,6.894,7.065
009555,9.795,9.791,8.548
009557,9.519,9.51,8.524
009558,4.538,4.507,6.177
009563,10.191,10.169,10.178
009564,10.187,10.165,10.183
009566,10.824,10.854,10.136
009568,9.925,9.953,9.584
009569,10.406,10.438,9.124
009570,2.037,2.036,3.946
009572,11.32,11.307,10.557
009573,11.333,11.32,10.562
009574,11.01,10.997,10.257
009575,10.981,10.968,10.23
009576,10.708,10.695,9.958
009577,6.111,6.12,7.52
009578,6.112,6.121,7.529
009581,5.33,5.298,6.901
009582,6.095,6.123,6.018
009584,12.018,12.0,11.625
009587,3.468,3.449,3.688
009588,6.597,6.565,8.214
009592,6.921,6.953,5.513
009625,19.102,19.131,17.206
009631,6.437,6.468,4.793
009652,7.32,7.319,5.868
009659,11.048,11.045,9.64
009667,2.0,2.0,3.883
009675,1.792,1.76,3.587
009676,1.771,1.74,3.581
009684,14.681,14.709,12.727
009685,14.626,14.655,12.684
009691,5.808,5.785,6.085
009692,5.726,5.704,5.885
009693,4.655,4.629,5.326
009698,3.664,3.633,5.574
009699,3.65,3.619,5.562
009704,16.093,16.119,14.04
009705,15.855,15.881,13.807
009706,14.923,14.949,12.889
009707,16.284,16.311,14.239
009708,16.571,16.598,14.537
009715,7.162,7.188,7.273
009716,6.725,6.751,6.899
009717,6.576,6.602,6.806
009718,6.494,6.519,6.767
009719,6.353,6.379,6.568
009728,19.528,19.557,17.631
009729,19.48,19.509,17.584
009730,3.486,3.454,5.097
009743,3.194,3.167,5.26
011313,10.43,10.432,12.039
011320,7.3,7.278,7.425
011321,7.145,7.122,7.302
011322,6.895,6.872,7.046
011495,3.308,3.278,5.217
011715,12.328,12.355,10.344
011723,14.628,14.656,12.671
011725,14.61,14.638,12.651
011726,14.566,14.594,12.606
011762,7.843,7.831,7.122
011773,12.503,12.531,10.521
016532,4.588,4.608,2.446
016725,7.702,7.733,6.133
016727,2.004,2.003,3.931
019313,17.935,17.964,16.102
019314,18.187,18.217,16.335
019316,16.645,16.672,14.613
022005,13.527,13.558,12.416
036678,3.37,3.338,4.969
038671,7.172,7.204,5.785
038673,7.202,7.234,5.8
038674,7.089,7.121,5.695
038675,7.039,7.071,5.646
038678,7.099,7.131,5.701
038680,7.139,7.17,5.738
038682,7.205,7.236,5.795
038683,7.163,7.195,5.758
038686,7.045,7.077,5.642
038687,7.099,7.13,5.693
038692,7.187,7.219,5.792
038717,1.224,1.196,2.669
038791,5.043,5.072,3.255
040525,3.466,3.494,3.695
040526,3.429,3.457,3.66
040608,6.897,6.918,4.755
040609,6.425,6.444,7.247
040612,8.184,8.215,6.578
040761,5.628,5.66,4.41
040762,5.64,5.672,4.439
040763,5.683,5.715,4.483
040789,4.85,4.856,3.135
041071,2.287,2.318,1.792
041092,7.21,7.226,8.192
041093,6.809,6.825,7.799
041094,6.551,6.569,7.44
041095,6.393,6.411,7.228
041209,1.183,1.208,2.44
042933,3.259,3.291,2.333
042934,13.142,13.167,13.242
043192,16.731,16.76,14.812
043193,16.826,16.855,14.907
043331,9.561,9.589,9.244
043341,9.456,9.471,7.367
043342,8.993,8.993,7.528
043343,2.817,2.789,4.88
043548,16.926,16.954,14.913
043554,17.849,17.877,15.897
043555,17.676,17.704,15.715
043556,17.355,17.383,15.378
043571,10.488,10.489,12.179
044076,7.367,7.383,8.296
044127,5.269,5.3,4.117
044135,12.012,12.004,10.948
044388,10.478,10.508,9.788
044557,8.248,8.236,7.539
044637,7.471,7.492,8.075
044638,7.37,7.391,7.974
045755,9.774,9.803,9.335
047671,8.929,8.959,7.154
048471,6.372,6.34,7.811
048505,1.366,1.34,2.654
048506,1.314,1.288,2.62
048519,10.012,10.01,8.585
049170,11.614,11.639,11.737
049171,11.713,11.738,11.78
049172,11.308,11.334,11.38
049174,10.17,10.199,9.82
049177,4.227,4.209,4.215
049178,4.16,4.143,4.069
049180,5.522,5.505,5.28
049182,6.316,6.301,5.832
049183,6.298,6.284,5.82
049185,10.936,10.936,9.392
049892,6.832,6.813,6.759
049893,6.497,6.478,6.37
049894,6.777,6.759,6.573
049895,7.235,7.217,6.975
049896,6.806,6.787,6.599
049897,6.504,6.485,6.363
049898,6.817,6.797,6.74
049900,7.466,7.445,7.473
049903,3.76,3.731,4.847
050184,10.563,10.594,9.238
050279,6.701,6.703,8.386
056123,10.015,9.989,10.414
056124,10.045,10.018,10.504
056161,10.651,10.631,10.466
056162,10.226,10.204,10.218
056163,10.217,10.195,10.21
056165,10.46,10.438,10.503
056166,10.456,10.433,10.5
056168,10.703,10.68,10.794
056169,10.695,10.672,10.787
056170,10.585,10.561,10.712
056172,10.411,10.387,10.563
056173,10.904,10.881,11.022
056174,10.898,10.875,11.017
056187,10.58,10.557,10.706
056188,10.406,10.382,10.558
056189,10.445,10.477,9.47
061136,5.882,5.882,4.459
061188,4.317,4.307,6.345
061222,4.286,4.277,6.318
061223,4.826,4.817,6.846
061224,4.728,4.722,6.689
061225,4.732,4.73,6.599
061226,4.497,4.489,6.493
061227,4.528,4.521,6.519
061231,4.328,4.328,6.146
061232,4.362,4.361,6.202
061233,7.191,7.189,8.995
061234,7.211,7.21,9.017
061236,9.61,9.613,11.216
061237,9.621,9.624,11.226
061238,4.684,4.689,6.322
061271,4.777,4.772,6.711
061272,5.479,5.475,7.368
061273,5.513,5.51,7.398
061274,4.323,4.314,6.354
061275,4.304,4.295,6.337
061277,4.283,4.274,6.32
061278,4.316,4.306,6.358
061280,4.308,4.299,6.344
061286,6.848,6.848,8.601
061350,1.973,1.985,0.659
061351,2.01,2.023,0.63
061368,1.738,1.746,0.904
062511,4.22,4.215,6.158
062512,4.506,4.502,6.425
062513,7.775,7.774,9.535
062514,7.787,7.787,9.548
062515,10.127,10.126,11.862
062516,10.144,10.143,11.884
062517,1.717,1.72,1.24
062518,0.818,0.787,2.836
062519,5.213,5.2,7.291
062521,0.62,0.652,1.821
062522,10.107,10.108,11.797
062607,2.176,2.194,3.45
062608,2.001,2.019,3.273
062620,1.799,1.817,3.117
062621,1.75,1.769,3.077
062622,1.923,1.942,3.201
062726,6.463,6.458,8.374
062756,5.366,5.35,5.104
062757,5.282,5.267,4.894
062759,0.185,0.216,2.026
062815,10.479,10.482,12.086
062861,5.383,5.366,5.13
062942,1.807,1.812,1.095
063399,11.75,11.747,10.37
064208,7.31,7.28,8.298
064209,7.325,7.295,8.318
064210,7.076,7.047,8.029
064212,7.749,7.719,8.768
064214,7.747,7.717,8.768
064215,8.186,8.156,9.206
064377,10.938,10.913,11.173
066434,3.065,3.097,2.235
066451,2.259,2.274,3.656
066452,2.267,2.282,3.629
066453,2.27,2.279,3.897
066454,2.273,2.283,3.873
066455,2.712,2.719,4.373
066456,2.658,2.664,4.325
066457,3.212,3.219,4.808
066458,3.157,3.164,4.758
066459,3.343,3.347,5.069
066460,3.332,3.336,5.04
066679,17.324,17.351,15.311
066680,17.298,17.325,15.285
066681,17.539,17.566,15.52
066682,17.495,17.522,15.477
066683,17.811,17.838,15.8
066684,17.786,17.813,15.776
066685,17.997,18.024,15.978
066686,17.994,18.022,15.976
066687,18.168,18.195,16.14
066688,18.159,18.186,16.131
066697,17.351,17.379,15.375
066698,17.692,17.72,15.733
066699,17.86,17.888,15.909
066700,18.074,18.103,16.134
066711,15.757,15.784,13.75
066712,15.944,15.972,13.958
066713,16.0,16.028,14.015
066714,16.157,16.184,14.182
066715,16.14,16.168,14.163
066716,16.341,16.369,14.378
066717,16.334,16.362,14.37
066718,16.541,16.569,14.59
066719,16.531,16.559,14.579
066720,16.737,16.766,14.796
066722,16.845,16.873,14.904
066828,4.831,4.816,4.514
066856,4.502,4.473,6.495
066969,18.042,18.071,16.111
067592,2.596,2.566,4.005
069089,3.4,3.371,4.457
069090,3.414,3.385,4.483
069091,3.428,3.399,4.542
069092,3.037,3.008,4.172
069093,3.015,2.986,4.167
069403,9.059,9.088,8.651
071262,2.342,2.356,3.773
071659,2.318,2.296,3.025
072851,3.385,3.353,5.106
072934,1.117,1.089,3.206
072935,1.101,1.074,3.198
073152,3.528,3.496,5.202
075220,9.111,9.088,9.308
075654,10.201,10.231,9.718
075655,10.184,10.214,9.698
