stop_id,walk15_gini,multimodal_gini,walk15_mean_price,multimodal_mean_price
043571,0.1731,0.1562,0.395,0.448
044076,0.1296,0.1336,0.388,0.556
044127,0.118,0.169,0.513,0.4
044135,0.0834,0.1459,0.583,0.48
044557,0.1167,0.1512,0.523,0.564
044637,0.1475,0.2801,0.386,0.439
044638,0.1401,0.1394,0.392,0.394
045755,0.1209,0.183,0.367,0.332
047671,0.1499,0.1401,0.471,0.446
048471,0.1463,0.1478,0.818,0.848
048505,0.1746,0.1913,0.967,0.808
048506,0.1757,0.1913,0.957,0.808
048519,0.1897,0.166,0.439,0.419
049170,0.1951,0.2318,0.292,0.322
049171,0.19,0.2303,0.293,0.323
049172,0.1925,0.2303,0.289,0.323
049174,0.1276,,0.363,
049177,0.1501,0.1112,0.724,1.16
049178,0.1449,0.1112,0.721,1.16
049180,0.1558,0.1216,0.763,0.888
049182,0.1732,0.1216,0.783,0.888
049183,0.1732,0.1216,0.783,0.888
049185,0.1337,0.1503,0.418,0.446
049892,0.2178,,0.602,
049893,0.1415,,0.554,
049894,0.1415,,0.554,
049896,0.1415,,0.554,
049897,0.1569,,0.51,
049898,0.2178,,0.602,
049900,0.164,0.1599,0.569,0.656
049903,0.1513,,0.814,
050184,0.1808,0.1938,0.404,0.387
050279,0.1667,0.1866,0.507,0.534
056123,0.1788,0.1227,0.689,0.749
056124,0.1733,0.1227,0.698,0.749
056161,0.1833,0.2069,0.661,0.613
056162,0.1267,0.204,0.729,0.609
056163,0.1269,0.2027,0.729,0.61
056165,0.1343,0.2262,0.722,0.663
056166,0.1343,0.2061,0.722,0.606
056168,0.1556,0.2262,0.695,0.663
056169,0.1556,0.2099,0.695,0.606
056170,0.1587,0.2383,0.698,0.641
056172,0.1601,0.2383,0.691,0.641
056173,0.159,0.2262,0.696,0.663
056174,0.1614,0.2115,0.692,0.605
056187,0.1587,0.2115,0.698,0.605
056188,0.1601,0.2115,0.691,0.605
056189,0.1529,0.1532,0.383,0.388
061136,0.1742,0.2037,0.54,0.49
061188,0.143,0.1518,0.707,0.694
061222,0.1416,0.1552,0.71,0.688
061223,0.1455,0.1521,0.719,0.695
061224,0.1515,0.1521,0.649,0.695
061225,0.1659,0.1515,0.664,0.694
061226,0.1433,0.1514,0.703,0.694
061227,0.1441,0.155,0.701,0.688
061231,0.1318,0.1912,0.672,0.625
061232,0.1286,0.1722,0.665,0.788
061233,0.1795,0.1851,0.532,0.431
061234,0.1717,0.1851,0.511,0.431
061236,0.1822,0.1851,0.456,0.431
061237,0.1822,0.1768,0.456,0.45
061238,0.1443,,0.669,
061271,0.1505,0.1552,0.661,0.688
061272,0.1629,0.2156,0.672,0.531
