stop_id,mean_price
038680,0.41
038682,0.41
038683,0.41
038686,0.41
038687,0.409
038692,0.41
038717,0.808
038791,0.472
040525,0.38
040526,
040608,0.543
040609,0.39
040612,0.447
040761,0.405
040762,0.409
040763,0.405
040789,0.6
041071,0.621
041092,0.556
041093,0.398
041094,0.398
041095,0.39
041209,0.391
042933,0.565
042934,
043192,0.372
043193,0.372
043331,0.333
043341,0.43
043342,0.468
043343,0.842
043548,0.356
043554,0.367
043555,0.366
043556,0.367
043571,0.448
044076,0.556
044127,0.4
044135,0.48
044388,0.333
044557,0.564
044637,0.439
044638,0.394
045755,0.332
047671,0.446
048471,0.848
048505,0.808
048506,0.808
048519,0.419
049170,0.322
049171,0.323
049172,0.323
049174,
049177,1.16
049178,1.16
049180,0.888
049182,0.888
049183,0.888
049185,0.446
049892,
049893,
049894,
049895,
049896,
049897,
049898,
049900,0.656
049903,
050184,0.387
050279,0.534
056123,0.749
056124,0.749
056161,0.613
056162,0.609
056163,0.61
056165,0.663
056166,0.606
056168,0.663
056169,0.606
056170,0.641
056172,0.641
056173,0.663
056174,0.605
056187,0.605
056188,0.605
056189,0.388
061136,0.49
061188,0.694
061222,0.688
061223,0.695
061224,0.695
061225,0.694
061226,0.694
061227,0.688
061231,0.625
061232,0.788
061233,0.431
061234,0.431
061236,0.431
061237,0.45
061238,
061271,0.688
061272,0.531
061273,0.688
061274,0.694
061275,0.694
061277,0.694
061278,0.694
061280,0.694
061286,0.536
061350,0.595
061351,0.601
061368,0.598
062511,0.694
062512,0.694
062513,0.563
062514,0.563
062515,0.548
062516,0.448
062517,0.604
062518,0.736
062519,0.695
062521,0.815
062522,0.448
062607,
062608,
062620,
062621,
062622,
062726,0.431
062756,
062757,
062759,0.815
062815,0.391
062861,0.888
062942,0.663
063399,
064208,0.684
064209,0.684
064210,0.684
064212,0.684
064214,0.684
064215,0.684
064377,0.668
066434,0.566
066451,0.63
066452,0.632
066453,0.507
066454,0.63
066455,
066456,0.634
066457,0.618
066458,0.357
066459,0.618
066460,0.357
066679,0.352
066680,0.355
066681,0.419
066682,0.354
066683,0.419
066684,0.35
066685,0.419
066686,0.352
066687,0.272
066688,0.419
066697,0.419
066698,0.448
066699,0.448
066700,0.448
066711,0.388
066712,0.371
066713,0.371
066714,0.403
066715,0.388
066716,
066717,0.388
066718,
066719,0.388
066720,
066722,0.403
066828,0.734
066856,0.882
066969,0.419
067592,0.813
069089,0.827
069090,0.827
069091,0.801
069092,0.734
069093,0.842
069403,0.337
071262,0.507
071659,0.809
072851,0.804
072934,0.79
072935,0.843
073152,0.804
075220,0.597
075654,0.371
075655,0.339
075744,0.694
076394,0.645
076395,0.602
076396,0.552
076397,0.602
076398,0.602
076399,0.602
078004,0.804
078064,
081565,0.804
081950,0.551
081954,0.75
082200,0.658
082617,0.694
082623,0.43
083329,0.548
083330,0.448
083331,0.535
083777,0.551
085772,0.302
086855,0.621
086856,0.649
086857,0.632
086858,0.565
086859,0.566
086866,0.511
086874,0.397
086875,0.388
086876,0.388
086880,0.565
086885,0.649
087373,0.33
090482,0.636
090915,0.625
091120,
091338,0.67
091816,0.564
091817,0.564
091821,0.564
096830,0.528
099342,0.816
099343,0.816
099344,0.812
099629,0.694
099630,0.694
099631,0.694
099632,0.694
099634,0.694
100836,0.663
100837,0.672
100838,0.641
102283,
102568,0.428
102569,0.43
102602,0.515
102797,0.41
103897,0.475
105925,0.813
106324,0.419
106325,0.479
108188,0.357
108458,0.357
108550,0.621
109462,0.323
109565,0.367
109566,0.371
109702,0.454
CS007899,0.694
CS009703,0.545
CS050182,0.377
CS050183,0.397
CS056176,0.663
CS056230,0.783
CS056232,0.595
CS107475,0.432
CSF00062,0.812
CSF00094,0.814
CSF00097,0.841
CSF00140,0.683
CSF00185,0.811
CSF00461,0.62
CSF00471,0.617
CSF00481,0.617
CSF00483,0.62
CSF00487,0.62
CSF00511,0.662
CSF00568,0.655
CSF00579,0.684
CSF00619,0.685
CSF00625,0.685
CSF00632,0.685
CSF00678,0.609
CSF00897,0.564
CSF00913,0.564
CSF00958,0.784
CSF00960,0.78
CSF00997,0.808
CSF00999,0.736
CSF01019,0.782
CSF01025,0.809
CSF01093,0.797
CSF01096,0.792
CSF01101,0.792
CSF01108,0.815
CSF01289,0.782
CSF01415,0.357
CSF01489,0.41
CSF01820,0.516
CSF02307,0.801
CSF02481,0.813
CSF02680,0.811
CSF02684,0.691
CSF03293,0.4
CSF03409,0.4
CSF03411,0.384
CSF03414,0.43
CSF03416,0.43
CSF03417,0.43
CSF03419,0.433
CSF03421,0.4
CSF03423,0.512
CSF03425,0.507
CSF03785,0.377
CSF03788,0.377
CSF03884,0.407
CSF03930,0.409
CSF04052,0.306
CSF04150,0.364
CSF04183,0.391
CSF04272,0.381
CSF04319,0.391
CSF04369,0.378
CSF04534,0.304
CSF04540,0.303
CSF04546,0.304
CSF04548,0.392
CSL008159,0.695
CSLM1HTV,0.624
CSLM1MUV,0.624
CSLM1OKV,0.808
CSLM1OPV,0.808
CSLM1SFV,0.624
CSLM1VTV,0.808
CSLM2BLA,0.778
CSLM2OVE,0.523
CSLM2PF1,0.572
CSLM2PU2,0.567
CSLM3AHG,0.678
CSLM3LED,0.806
CSLM3NTF,0.815
CSLM3NYA,0.809
CSLM4BP1,0.807
CSLM4FT1,0.783
CSLM4KFD,0.876
CSLM4MKF,0.807
CSLM4SG1,0.783
CSLM4UK1,0.807
CSLMXKPB,0.778
F00001,
F00002,
F00003,
F00004,0.736
F00005,0.751
F00006,
F00007,
F00008,0.751
F00009,0.763
F00010,
F00011,0.763
F00012,
F00013,
F00014,0.804
F00015,0.804
F00016,0.845
F00017,0.845
F00018,0.806
F00019,0.843
F00020,0.807
F00022,0.807
F00023,0.807
F00024,0.802
F00025,0.807
F00026,0.808
F00027,0.807
F00028,0.804
F00029,0.804
F00030,0.804
F00031,0.804
F00032,0.804
F00033,0.804
F00034,0.804
F00035,0.804
F00036,0.804
F00045,
F00047,
F00048,0.815
F00051,
F00052,
F00057,0.813
F00066,0.813
F00067,0.813
F00069,0.804
F00070,0.842
F00071,0.844
F00072,0.804
F00073,0.842
F00074,
F00076,
F00077,
F00078,0.842
F00079,
F00080,0.79
F00081,
F00082,0.804
F00083,0.815
F00084,
F00085,
F00086,0.842
F00087,0.85
F00088,
F00089,0.804
F00090,0.842
F00091,0.804
F00092,0.842
F00095,0.845
F00096,0.85
F00098,0.85
F00099,
F00102,
F00103,0.843
F00104,0.815
F00105,0.79
F00106,0.79
F00107,0.843
F00108,0.876
F00110,0.815
F00111,0.815
F00113,0.79
F00114,0.842
F00119,0.677
F00120,0.684
F00121,0.677
F00122,0.684
F00123,0.677
F00124,0.823
F00125,0.807
F00126,0.677
F00127,0.677
F00128,0.677
F00129,0.731
F00130,0.731
F00131,0.675
F00132,0.675
F00133,0.675
F00135,0.657
F00136,0.675
F00137,0.683
F00138,0.675
F00141,0.802
F00142,0.74
F00143,
F00144,0.75
F00147,0.78
F00148,0.804
F00149,0.78
F00150,0.78
F00151,0.816
F00152,0.927
F00153,0.804
F00154,0.805
F00155,0.808
F00156,0.811
F00157,0.811
F00158,0.811
F00159,0.806
F00160,0.838
F00161,0.844
F00162,0.852
F00163,0.852
F00164,0.816
F00165,0.816
F00166,0.806
F00167,0.806
F00168,0.806
F00169,0.84
F00170,0.806
F00171,0.804
F00172,0.806
F00173,0.78
F00174,0.78
F00175,0.78
F00176,0.78
F00177,0.78
F00178,0.78
F00179,0.745
F00180,0.78
F00181,0.745
F00182,0.78
F00183,0.745
F00184,0.78
F00187,0.831
F00188,
