stop_id,cultural_institutions,drugstores,groceries,healthcare,parks,religious_organizations,restaurants,schools,services,costing,range,total
1472112,2,8,23,3,156,5,89,41,39,public_transport,,366
1472113,5,9,35,3,212,7,97,49,44,public_transport,,461
1472114,3,8,26,3,167,7,95,44,41,public_transport,,394
1472115,2,7,20,3,95,4,84,23,37,public_transport,,275
1472121,1,4,12,1,101,3,38,25,23,public_transport,,208
1472122,1,4,13,1,118,4,38,28,24,public_transport,,231
1472123,0,3,7,0,40,2,25,6,18,public_transport,,101
1472124,1,4,13,1,99,3,38,24,24,public_transport,,207
1472125,0,3,7,0,39,2,25,6,18,public_transport,,100
1472126,0,3,9,0,64,2,27,15,19,public_transport,,139
1472128,2,7,19,3,128,4,84,32,37,public_transport,,316
1472131,2,7,21,3,106,5,85,29,37,public_transport,,295
1472132,2,5,16,2,89,4,41,26,26,public_transport,,211
1472133,2,5,14,1,84,5,38,25,25,public_transport,,199
1472134,2,8,23,3,123,5,87,35,37,public_transport,,323
1472135,1,4,11,1,86,3,36,17,22,public_transport,,181
1472148,2,8,23,3,126,5,87,36,37,public_transport,,327
1472153,1,4,12,1,78,2,37,21,22,public_transport,,178
1472194,2,8,23,3,156,5,89,41,39,public_transport,,366
1472195,1,4,13,1,119,4,38,28,24,public_transport,,232
1472196,5,7,22,3,168,4,89,38,38,public_transport,,374
1472197,1,4,12,1,107,3,37,25,23,public_transport,,213
1472198,4,7,20,3,148,4,86,34,37,public_transport,,343
1473101,3,8,26,2,144,9,61,38,37,public_transport,,328
1473102,3,8,36,1,139,12,100,39,46,public_transport,,384
1473103,1,5,16,1,115,5,44,26,23,public_transport,,236
1473104,2,5,19,1,118,8,42,29,26,public_transport,,250
1473105,2,8,27,3,190,8,93,45,38,public_transport,,414
1473106,4,8,29,2,180,9,65,56,41,public_transport,,394
1473107,2,8,24,3,127,5,89,32,37,public_transport,,327
1473108,2,6,20,1,123,6,48,30,26,public_transport,,262
1473109,5,8,25,3,209,6,91,47,39,public_transport,,433
1473110,0,4,13,0,98,5,33,20,19,public_transport,,192
1473111,1,3,12,0,91,6,18,20,7,public_transport,,158
1473112,1,4,12,0,69,4,26,16,12,public_transport,,144
1473113,3,10,31,3,196,9,105,52,50,public_transport,,459
1473114,0,4,15,0,98,6,33,18,19,public_transport,,193
1473116,0,4,14,0,88,4,33,16,19,public_transport,,178
1473118,2,8,24,3,161,6,90,43,39,public_transport,,376
1473119,3,7,26,1,183,11,59,59,37,public_transport,,386
1473120,4,11,42,3,188,11,115,52,53,public_transport,,479
1473121,0,0,1,0,26,1,2,6,0,public_transport,,36
1473122,0,1,2,0,33,2,5,11,0,public_transport,,54
1473123,0,1,3,0,40,2,6,11,3,public_transport,,66
