stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,cluster,stop_lat,stop_lon,stop_name
1201107,7.647,0.7872,177,3.413,4.198,9.012,112,24,87,11,230,51,842,70,495,1922,29,5,19,5,89,12,163,28,136,486,3.072,4.575,0.04204637229773829,0.005145797598627787,0.10283216199395862,0.050759127725387286,1000,60.162674,24.916438,Selkämerenkatu
1201130,8.711,0.7034,198,4.021,4.054,8.924,116,25,96,14,269,56,887,77,530,2070,24,5,17,5,83,12,147,28,112,433,3.072,5.639,0.04204637229773829,0.005145797598627787,0.10283216199395862,0.050759127725387286,1000,60.16431,24.91405,Länsiväylä
1201135,8.97,0.8204,187,4.344,4.152,9.009,112,25,91,11,291,53,863,78,499,2023,21,4,14,5,83,10,116,28,92,373,2.977,5.993,0.04204637229773829,0.005145797598627787,0.10283216199395862,0.050759127725387286,1000,60.16338,24.91418,Ruoholaht
1201136,8.199,0.7628,187,3.773,4.146,8.993,117,25,92,13,260,55,883,78,536,2059,22,5,18,5,84,11,128,28,100,401,3.031,5.167999999999999,0.04204637229773829,0.005145797598627787,0.10283216199395862,0.050759127725387286,1000,60.16335,24.91484,Ruoholaht
1201431,8.916,0.7149,191,3.944,4.146,8.993,114,25,90,12,259,53,861,74,504,1992,22,5,18,5,84,11,128,28,100,401,3.031,5.885,0.04204637229773829,0.005145797598627787,0.10283216199395862,0.050759127725387286,1000,60.16335,24.91484,Ruoholaht
1201432,7.647,0.7872,177,3.413,4.152,9.009,112,24,87,11,230,51,842,70,495,1922,21,4,14,5,83,10,116,28,92,373,2.977,4.67,0.04204637229773829,0.005145797598627787,0.10283216199395862,0.050759127725387286,1000,60.16338,24.91418,Ruoholaht
1201601,13.284,0.6555,276,11.599,4.229,9.082,145,33,127,17,392,71,1137,111,625,2658,18,4,13,5,82,8,95,25,80,330,2.777,10.507000000000001,0.04204637229773829,0.005145797598627787,0.10283216199395862,0.050759127725387286,1000,60.162714,24.913852,Ruoholahti
1201602,7.647,0.7872,177,3.413,4.229,9.082,112,24,87,11,230,51,842,70,495,1922,18,4,13,5,82,8,95,25,80,330,2.777,4.87,0.04204637229773829,0.005145797598627787,0.10283216199395862,0.050759127725387286,1000,60.162714,24.913852,Ruoholahti
1201113,7.647,0.7872,177,3.413,4.143,8.986,112,24,87,11,230,51,842,70,495,1922,23,5,18,5,86,12,132,28,104,413,3.078,4.569000000000001,0.04204637229773829,0.005145797598627787,0.10283216199395862,0.050759127725387286,1000,60.163335,24.915131,Ruoholahti
1310126,3.539,0.6525,37,1.305,5.402,10.537,8,3,8,2,139,3,46,17,17,243,2,2,7,1,88,3,30,14,16,163,2.95,0.589,3.252288991730427e-05,0.0017152658662092624,0.06860739390280052,0.0036758641795486997,21,60.16071,24.87498,Lahnalahden puisto
1310113,3.082,0.7098,26,1.13,6.099,11.243,8,3,8,2,113,3,39,16,17,209,1,2,6,0,69,3,24,10,9,124,2.481,0.601,6.035837268846404e-07,0.0017152658662092624,0.05700007017226196,2.4416159325868614e-05,25,60.15688,24.86445,Takaniementie
1310114,3.875,0.6844,42,1.385,6.086,11.228,9,3,9,4,147,4,62,23,33,294,1,2,7,0,70,3,25,10,10,128,2.539,1.3359999999999999,6.035837268846404e-07,0.0017152658662092624,0.05700007017226196,2.4416159325868614e-05,25,60.15665,24.86538,Takaniementie
1310115,2.964,0.7323,27,0.637,6.021,11.176,8,3,8,2,101,3,36,12,16,189,0,0,2,0,52,1,6,7,2,70,2.278,0.6859999999999999,1.1523478118157576e-06,0.0017152658662092624,0.060385773035999186,0.0005815708301739748,26,60.15934,24.86085,Viklakuja
1310116,3.806,0.6926,37,2.011,6.082,11.235,9,3,9,4,144,4,62,23,33,291,0,1,2,0,53,2,8,7,2,75,2.331,1.475,1.1523478118157576e-06,0.0017152658662092624,0.060385773035999186,0.0005815708301739748,26,60.1583,24.86154,Viklakuja
1310117,3.022,0.8036,30,0.626,5.842,10.999,8,2,6,4,99,2,43,18,29,211,0,1,4,0,59,1,13,5,5,88,2.402,0.6199999999999997,5.931263789003302e-06,0.0025728987993138934,0.06421682401391171,0.00568283040952869,28,60.16207,24.85976,Vaskiniementie
1310118,3.74,0.7201,34,1.97,5.864,11.021,9,3,9,4,141,4,60,23,33,286,0,1,4,0,59,1,11,5,3,84,2.401,1.3390000000000004,5.931263789003302e-06,0.0025728987993138934,0.06421682401391171,0.00568283040952869,28,60.16182,24.85971,Vaskiniementie
1310299,4.588,0.8246,50,1.602,5.775,10.932,17,6,22,4,167,12,139,35,103,505,0,1,4,0,66,1,13,7,6,98,2.428,2.16,5.931263789003302e-06,0.0025728987993138934,0.06421682401391171,0.00568283040952869,28,60.16235,24.86092,Katajaharju
1310119,2.25,0.6929,19,0.428,5.653,10.806,1,1,4,1,79,1,18,11,12,128,0,0,2,0,40,1,3,5,1,52,1.96,0.29000000000000004,1.079475896748889e-06,0.0017152658662092624,0.06034500574011905,0.001712321203778002,27,60.16521,24.85843,Koivusaarentie
1310120,2.964,0.7323,27,0.637,5.675,10.828,8,3,8,2,101,3,36,12,16,189,0,0,2,0,41,1,3,5,1,53,2.049,0.915,1.079475896748889e-06,0.0017152658662092624,0.06034500574011905,0.001712321203778002,27,60.16492,24.85843,Koivusaarentie
1310121,2.342,0.6949,23,0.519,5.481,10.622,1,1,4,1,83,1,18,11,12,132,0,0,1,0,25,0,1,4,1,32,1.416,0.9260000000000002,1.9035798058177327e-07,0.0008576329331046312,0.056907949974618365,0.0,29,60.16819,24.85737,Katajaharju
1303100,2.145,0.8751,19,0.947,5.082,10.069,4,1,4,1,37,2,16,10,4,79,2,0,1,0,17,0,2,3,0,25,1.384,0.7610000000000001,9.310548441063802e-05,0.003430531732418525,0.06189429160177545,0.003435684891673231,32,60.180423,24.850458,Lehtisaarentie
1303102,2.145,0.8751,19,0.947,5.141,10.123,4,1,4,1,37,2,16,10,4,79,2,0,1,0,15,0,2,2,0,22,1.298,0.847,9.310548441063802e-05,0.003430531732418525,0.06189429160177545,0.003435684891673231,32,60.1804,24.8493,Lehtisaarentie
1303103,2.145,0.8751,19,0.947,5.087,10.139,4,1,4,1,37,2,16,10,4,79,2,0,1,0,16,0,1,2,0,22,1.183,0.962,9.310548441063802e-05,0.003430531732418525,0.06189429160177545,0.003435684891673231,32,60.177205,24.853608,Kalkkipaadenpuisto
1303104,2.145,0.8751,19,0.947,5.103,10.154,4,1,4,1,37,2,16,10,4,79,2,0,1,0,16,0,1,2,0,22,1.201,0.944,9.310548441063802e-05,0.003430531732418525,0.06189429160177545,0.003435684891673231,32,60.177125,24.853385,Kalkkipaadenpuisto
1303105,2.145,0.8751,19,0.947,5.057,10.086,4,1,4,1,37,2,16,10,4,79,2,0,1,0,18,0,1,2,0,24,1.277,0.8680000000000001,9.310548441063802e-05,0.003430531732418525,0.06189429160177545,0.003435684891673231,32,60.17854,24.8528,Hiidenkiukaantie
1303107,2.145,0.8751,19,0.947,5.031,10.037,4,1,4,1,37,2,16,10,4,79,2,0,1,0,15,0,1,2,0,21,1.251,0.8940000000000001,9.310548441063802e-05,0.003430531732418525,0.06189429160177545,0.003435684891673231,32,60.179735,24.85213,Hiidenkiukaantie
1303108,2.145,0.8751,19,0.947,5.089,10.101,4,1,4,1,37,2,16,10,4,79,2,0,1,0,14,0,1,2,0,20,1.197,0.948,9.310548441063802e-05,0.003430531732418525,0.06189429160177545,0.003435684891673231,32,60.179217,24.851467,Hiidenkiukaantie
1303112,2.145,0.8751,19,0.947,5.049,10.033,4,1,4,1,37,2,16,10,4,79,2,0,1,0,17,0,3,3,0,26,1.44,0.7050000000000001,9.310548441063802e-05,0.003430531732418525,0.06189429160177545,0.003435684891673231,32,60.1807,24.85085,Papinpöydänkuja
1303113,2.145,0.8751,19,0.947,5.06,10.043,4,1,4,1,37,2,16,10,4,79,2,0,1,0,17,0,3,3,0,26,1.482,0.663,9.310548441063802e-05,0.003430531732418525,0.06189429160177545,0.003435684891673231,32,60.1807,24.85064,Papinpöydänkuja
1303114,3.784,0.7477,38,1.494,5.074,10.036,10,3,10,3,62,7,45,19,19,178,2,0,1,0,20,0,7,5,0,35,1.625,2.159,9.310548441063802e-05,0.003430531732418525,0.06189429160177545,0.003435684891673231,32,60.18153,24.849633,Lehtisaarentie
1302219,4.157,0.5463,41,1.296,4.434,9.38,10,4,11,4,70,8,59,20,27,213,2,0,1,0,18,0,1,2,0,24,1.341,2.816,0.00024052834968153926,0.0017152658662092624,0.06586947625031077,0.0025374156170172037,31,60.18488,24.85935,Kuusisaarenkuja
1303111,1.788,0.8904,17,0.658,5.256,10.224,4,1,3,0,29,1,13,5,3,59,2,0,1,0,19,0,8,5,1,36,1.54,0.248,1.6407492972311302e-05,0.0008576329331046312,0.058283765387557425,0.0,35,60.180475,24.846967,Lehdesniityntie
1412118,6.01,0.5789,51,3.681,10.975,5.818,1,2,11,0,60,3,9,16,6,108,0,1,7,0,16,1,5,6,2,38,2.932,3.078,3.82570634273061e-07,0.003430531732418525,0.07628698992461479,0.003391783903240657,92,60.26959,25.07277,Heikinlaakso
1412134,7.052,0.6405,69,3.506,10.992,5.835,1,4,20,0,72,5,32,22,15,171,0,0,6,0,17,2,4,5,0,34,2.905,4.147,3.82570634273061e-07,0.003430531732418525,0.07628698992461479,0.003391783903240657,92,60.27016,25.07203,Heikinlaakso
1412298,5.009,0.6431,37,3.585,11.075,5.919,1,2,11,0,54,3,8,16,6,101,0,0,5,0,17,0,4,4,0,30,2.878,2.1310000000000002,3.82570634273061e-07,0.003430531732418525,0.07628698992461479,0.003391783903240657,92,60.270538,25.073418,Heikinlaakso
1492126,3.476,0.7706,33,1.178,9.43,9.256,0,1,4,0,33,1,8,10,4,61,0,0,0,0,3,0,2,2,0,7,1.545,1.931,5.719497126435509e-14,0.0017152658662092624,0.04252839843837545,0.001712321203778002,39,60.161187,25.08553,Jollaksentie 62
1492122,3.859,0.7161,39,1.43,8.866,8.731,0,1,4,0,42,1,9,12,4,73,0,0,1,0,4,0,2,3,0,10,2.237,1.6219999999999999,3.1381485274014445e-13,0.003430531732418525,0.04441569568579361,0.005131074286471485,45,60.164225,25.077224,Jollaksentie
1492123,2.653,0.8197,21,0.856,8.867,8.732,0,0,2,0,21,0,2,6,0,31,0,0,1,0,4,0,2,3,0,10,2.243,0.41000000000000014,3.1381485274014445e-13,0.003430531732418525,0.04441569568579361,0.005131074286471485,45,60.164216,25.077242,Jollaksentie
1492103,2.829,0.7953,25,0.924,9.796,9.493,0,0,2,0,22,0,2,6,0,32,0,0,0,0,3,0,2,2,0,7,1.006,1.8230000000000002,1.0100217932689704e-14,0.0008576329331046312,0.0407920884129654,0.0,40,60.160887,25.092593,Meri Perttilän Polku
1335100,2.009,0.9436,10,0.115,7.036,6.587,0,0,3,0,56,0,4,6,2,71,0,0,1,0,65,0,5,3,5,79,3.042,-1.033,1.956353281954581e-06,0.0017152658662092624,0.07000864143461455,0.001712321203778002,617,60.259206,24.893241,Kuninkaantammenaukio
1335101,1.844,0.9473,8,0.124,7.043,6.615,0,0,3,0,54,0,3,6,2,68,0,0,1,0,67,0,5,3,5,81,2.994,-1.1500000000000001,1.956353281954581e-06,0.0017152658662092624,0.07000864143461455,0.001712321203778002,617,60.259171,24.89265,Kuninkaantammenaukio
1333105,3.247,0.4524,31,0.657,7.419,8.521,0,2,7,0,98,1,20,14,18,160,0,2,8,1,116,2,18,14,27,188,3.136,0.11099999999999977,2.2560346759439983e-09,0.0017152658662092624,0.054400909669088594,0.0017123212037780022,835,60.251343,24.85015,Neulastie
1333106,2.875,0.4921,23,0.362,7.441,8.569,0,2,7,0,95,1,19,12,18,154,0,2,7,1,119,2,12,14,21,178,3.223,-0.34799999999999986,2.2560346759439983e-09,0.0017152658662092624,0.054400909669088594,0.0017123212037780022,835,60.251215,24.849189,Neulastie
1333182,4.608,0.2118,41,1.424,7.436,8.58,0,2,8,0,114,1,23,20,20,188,0,2,7,1,118,2,11,13,23,177,3.245,1.3629999999999995,2.2560346759439983e-09,0.0017152658662092624,0.054400909669088594,0.0017123212037780022,835,60.25104,24.8489,Neulastie
1492143,3.455,0.684,32,0.971,8.557,8.579,0,1,4,0,36,1,9,8,4,63,0,0,1,0,10,0,2,4,0,17,2.276,1.1790000000000003,1.3595535851310802e-12,0.0025728987993138934,0.046463410393527624,0.013616119082148721,44,60.16404,25.07081,Rannikkolaivurintie
1492144,5.339,0.4724,59,1.715,8.512,8.558,2,1,4,0,84,1,15,21,5,133,0,0,1,0,10,0,2,4,0,17,2.274,3.0650000000000004,1.3595535851310802e-12,0.0025728987993138934,0.046463410393527624,0.013616119082148721,44,60.164,25.06984,Rannikkolaivurintie
1492121,3.268,0.7303,28,0.946,8.733,8.597,0,1,4,0,35,1,9,8,4,62,0,0,1,0,6,0,1,3,0,11,2.274,0.9939999999999998,3.0527339250811247e-13,0.0025728987993138934,0.04441569568579361,0.005128129624040224,46,60.165093,25.075415,Puuskaniementie
1492145,3.032,0.7339,26,0.855,8.747,8.581,0,1,3,0,28,1,9,6,4,52,0,0,1,0,6,0,1,3,0,11,2.19,0.8420000000000001,3.0527339250811247e-13,0.0025728987993138934,0.04441569568579361,0.005128129624040224,46,60.16544,25.07604,Hämeenapajantie
1492146,3.872,0.6191,42,1.08,8.735,8.572,0,1,4,0,46,1,9,12,4,77,0,0,1,0,6,0,1,3,0,11,2.23,1.642,3.0527339250811247e-13,0.0025728987993138934,0.04441569568579361,0.005128129624040224,46,60.16546,25.0758,Hämeenapajantie
1492141,4.163,0.6257,43,1.596,8.097,8.317,0,1,4,0,45,1,9,14,4,78,0,0,2,0,17,0,2,5,0,26,2.647,1.5160000000000005,7.082366906146185e-12,0.0025728987993138934,0.04869681629920931,0.016135572258335236,296,60.16448,25.06189,Takilatie
1492142,6.283,0.3778,72,2.948,8.094,8.31,2,1,5,0,89,1,16,23,5,142,0,0,2,0,16,0,2,5,0,25,2.633,3.6500000000000004,7.082366906146185e-12,0.0025728987993138934,0.04869681629920931,0.016135572258335236,296,60.16455,25.06189,Takilatie
1492100,2.286,0.8483,17,0.485,9.289,9.151,0,0,2,0,19,0,2,6,0,29,0,0,0,0,3,0,2,2,0,7,1.756,0.53,5.5411144574310546e-14,0.0008576329331046312,0.042525285655324145,0.0,38,60.161556,25.083062,Jollas Instituutti
1492151,2.709,0.7674,22,1.807,8.94,8.642,0,1,3,0,22,1,8,5,4,44,0,0,1,0,4,0,1,3,0,9,1.994,0.7150000000000001,5.5695636311723734e-14,0.0017152658662092624,0.042531511677161606,0.003421697745124743,48,60.16611,25.08049,Kellaripellonpolku
1492152,3.689,0.6378,34,1.078,8.893,8.617,0,1,4,0,40,1,9,11,4,70,0,0,1,0,4,0,1,3,0,9,1.991,1.698,5.5695636311723734e-14,0.0017152658662092624,0.042531511677161606,0.003421697745124743,48,60.1661,25.07956,Kellaripellonpolku
1492147,2.709,0.7674,22,1.807,8.845,8.453,0,1,3,0,22,1,8,5,4,44,0,0,0,0,4,0,1,3,0,8,1.465,1.244,1.015209466548409e-14,0.0017152658662092624,0.04079781723656107,0.001712321203778002,47,60.16808,25.08038,Puuskakuja
1492148,3.548,0.6659,31,0.979,8.864,8.485,0,1,4,0,38,1,9,10,4,67,0,0,0,0,4,0,1,3,0,8,1.517,2.031,1.015209466548409e-14,0.0017152658662092624,0.04079781723656107,0.001712321203778002,47,60.16778,25.0805,Puuskakuja
