stop_id,distance_from_largest_betweenness_centroid,distance_from_largest_betweenness_medoid,distance_from_landuse_centroid
1383113,6.323,6.294,1.216
1383115,6.495,6.466,1.354
1383116,6.475,6.446,1.336
1383104,5.987,5.958,0.919
1383105,5.954,5.925,0.89
1383111,6.433,6.404,1.371
1383112,6.354,6.325,1.316
1382113,6.637,6.607,1.495
1383109,5.761,5.732,0.76
1383110,5.74,5.711,0.732
1383124,5.726,5.696,0.696
1383125,5.705,5.676,0.685
1382115,6.681,6.652,1.538
1382116,6.665,6.636,1.521
1382123,6.877,6.849,1.828
1382124,6.849,6.82,1.795
1383114,6.513,6.484,1.394
1382104,6.838,6.809,1.691
1401114,7.983,7.959,4.03
1403115,7.901,7.876,3.931
1392157,7.823,7.795,2.904
1392158,7.822,7.794,2.909
1392188,8.015,7.987,3.146
1381155,7.565,7.538,2.668
1381156,7.558,7.53,2.66
1392146,8.271,8.243,3.334
1392147,8.277,8.249,3.36
1392143,8.234,8.206,3.402
1392144,8.24,8.213,3.412
1391187,8.087,8.06,3.245
1391112,7.696,7.671,3.611
1391113,7.71,7.685,3.63
1403134,7.746,7.721,3.717
1403135,7.82,7.795,3.765
1391110,7.488,7.463,3.306
1391111,7.445,7.419,3.234
1391122,7.448,7.422,3.339
1391123,7.425,7.399,3.33
1391108,7.396,7.37,2.965
1391109,7.378,7.352,2.933
1353123,6.452,6.43,3.489
1353121,6.285,6.264,3.609
1382175,7.744,7.715,2.59
1385174,7.754,7.725,2.6
1382186,7.676,7.648,2.543
1382187,7.67,7.641,2.536
1382179,7.696,7.666,2.542
1385178,7.704,7.675,2.55
1382141,7.721,7.693,2.636
1382142,7.683,7.654,2.585
1382139,7.402,7.373,2.293
1382140,7.397,7.369,2.291
1381123,7.136,7.108,2.36
1381126,7.184,7.157,2.402
1381124,7.11,7.083,2.401
1381101,7.032,7.004,2.056
1381102,7.036,7.008,2.069
1381103,7.043,7.015,2.069
1381104,7.017,6.989,2.046
1381105,7.07,7.042,2.105
1381106,7.047,7.019,2.078
1381120,7.126,7.098,2.195
1381121,7.13,7.102,2.23
1382133,7.078,7.05,2.12
1382135,7.003,6.975,2.038
1382177,6.904,6.876,1.947
1382178,6.918,6.89,1.951
1391106,7.369,7.343,2.789
1391139,7.404,7.377,2.785
1381107,7.315,7.288,2.68
1391105,7.267,7.241,2.685
1382167,7.443,7.414,2.373
1382168,7.428,7.4,2.355
1382169,7.036,7.008,1.988
1382170,6.96,6.932,1.935
1381153,7.343,7.315,2.44
1381154,7.367,7.339,2.467
1370121,6.425,6.397,1.55
1285103,3.761,3.734,1.783
1285104,3.792,3.765,1.757
1285501,3.79,3.763,1.772
1285551,3.79,3.763,1.772
1384147,7.749,7.719,2.652
1385148,7.733,7.704,2.632
1384149,8.028,7.999,2.942
1385150,7.996,7.966,2.905
