stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,cluster,stop_lat,stop_lon,stop_name,Unnamed: 0,weighted_gini_walk,weighted_gini_multi,weighted_med_inc_walk,weighted_med_inc_multi
1310117,4.574,0.7747,27,1.903,5.842,10.999,23,6,23,4,168,13,212,36,154,639,0,1,4,0,59,1,13,5,5,88,2.402,2.172,5.931263789003302e-06,0.0025728987993138,0.0642168240139117,0.0056828304095286,28,60.16207,24.85976,Vaskiniementie,1160,0.309962,0.313608,45111.0,44360.0
1310119,2.843,0.7327,15,1.25,5.653,10.806,8,3,8,2,98,3,34,12,16,184,0,0,2,0,40,1,3,5,1,52,1.96,0.883,1.079475896748889e-06,0.0017152658662092,0.060345005740119,0.001712321203778,27,60.16521,24.85843,Koivusaarentie,1162,0.299615,0.309796,49429.0,45155.0
1310121,2.203,0.7167,12,0.606,5.481,10.622,1,1,4,1,81,1,18,11,12,130,0,0,1,0,25,0,1,4,1,32,1.416,0.7869999999999999,1.903579805817733e-07,0.0008576329331046,0.0569079499746183,0.0,29,60.16819,24.85737,Katajaharju,1164,0.289402,0.308586,53692.0,45508.0
1303100,3.494,0.6491,17,1.29,5.082,10.069,9,3,10,3,66,7,45,21,20,184,2,0,1,0,17,0,2,3,0,25,1.384,2.1100000000000003,9.310548441063802e-05,0.0034305317324185,0.0618942916017754,0.0034356848916732,32,60.180423,24.850458,Lehtisaarentie,1109,0.2309,0.267669,78110.0,62264.0
1302219,4.042,0.502,23,1.41,4.434,9.38,10,3,9,4,69,7,51,22,23,198,2,0,1,0,18,0,1,2,0,24,1.341,2.701,0.0002405283496815,0.0017152658662092,0.0658694762503107,0.0025374156170172,31,60.18488,24.85935,Kuusisaarenkuja,1108,0.232348,0.305853,77492.0,44125.0
1303111,1.55,0.9325,7,0.483,5.256,10.224,4,0,3,0,27,1,12,4,3,54,2,0,1,0,19,0,8,5,1,36,1.54,0.01,1.6407492972311302e-05,0.0008576329331046,0.0582837653875574,0.0,35,60.180475,24.846967,Lehdesniityntie,1116,0.2309,0.255513,78110.0,67591.0
1412118,7.579,0.6424,48,3.848,10.975,5.818,1,4,20,0,78,5,32,21,15,176,0,1,7,0,16,1,5,6,2,38,2.932,4.647,3.82570634273061e-07,0.0034305317324185,0.0762869899246147,0.0033917839032406,92,60.26959,25.07277,Heikinlaakso,1811,0.292005,0.298709,54945.0,44539.0
1492126,3.381,0.7682,21,1.176,9.43,9.256,0,0,4,0,31,1,5,10,1,52,0,0,0,0,3,0,2,2,0,7,1.545,1.836,5.719497126435509e-14,0.0017152658662092,0.0425283984383754,0.001712321203778,39,60.161187,25.08553,Jollaksentie 62,2450,0.2756,0.306813,72608.0,47148.0
1492122,3.77,0.7016,24,1.488,8.866,8.731,0,1,4,0,41,1,9,12,4,72,0,0,1,0,4,0,2,3,0,10,2.237,1.533,3.1381485274014445e-13,0.0034305317324185,0.0444156956857936,0.0051310742864714,45,60.164225,25.077224,Jollaksentie,2448,0.275695,0.306647,72533.0,46947.0
1492103,2.755,0.7975,17,0.932,9.796,9.493,0,0,2,0,22,0,2,6,0,32,0,0,0,0,3,0,2,2,0,7,1.006,1.749,1.0100217932689704e-14,0.0008576329331046,0.0407920884129654,0.0,40,60.160887,25.092593,Meri Perttilän Polku,2446,0.2756,0.303039,72608.0,50234.0
