stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,cluster,stop_lat,stop_lon,stop_name,weighted_gini_walk,weighted_med_inc_walk,weighted_hh_low_walk,weighted_hh_mid_walk,weighted_hh_high_walk,weighted_gini_multi,weighted_med_inc_multi,weighted_hh_low_multi,weighted_hh_mid_multi,weighted_hh_high_multi
1310139,4.469,0.8257,57,1.306,4.851,9.917,25,7,25,5,160,14,217,36,149,638,7,3,6,3,90,2,37,15,16,179,2.341,2.128,0.0022433453524888,0.0034305317324185,0.0858961731617188,0.0370099477006918,13,60.16131,24.89126,Lauttasaaren silta,0.3068425719624577,46275.06761218182,1247.040070328567,3577.044354653089,3031.440828903499,0.3079091360720162,46110.20249219796,1295.8856793476493,3577.451187299297,3061.574632996767
1310140,2.618,0.6343,21,0.636,5.214,10.289,9,3,8,4,123,4,60,20,32,263,5,2,6,1,110,3,36,14,16,193,2.572,0.0459999999999998,0.0004237433595408,0.0017152658662092,0.0791717265470963,0.0053313604095045,17,60.158869,24.886624,Pajalahdentie,0.2979399761085278,48667.79354996774,1079.8444814641928,3292.7299393875833,3025.224416406373,0.3009412846910474,47997.225586475084,1110.9442511065022,3258.3318693861065,2857.735884987371
1310103,4.276,0.7059,44,2.507,5.113,10.214,12,5,17,4,162,12,112,30,91,445,5,2,6,1,98,3,35,15,15,180,2.513,1.763,0.0004259024647999,0.0017152658662092,0.0792419142479359,0.0106640248838001,18,60.16068,24.88418,Koillisväylä,0.30217200567195374,47431.213410943106,1177.7329577836736,3522.7810335369604,3151.7354812575613,0.3058458385729676,46578.12737912196,1241.3858930166996,3543.595735762007,3056.0091592445806
1201131,6.161,0.8803,101,2.447,4.326,9.304,49,17,41,6,204,20,488,47,235,1107,14,2,5,6,63,3,52,21,37,203,2.492,3.669,0.0114197487962924,0.0042881646655231,0.0936419881160232,0.0403244527222177,995,60.16338,24.9044,Salmisaari,0.32358733178273286,41884.18156395549,1491.5048560868363,3835.870651552809,2718.3846342033335,0.3103401726384448,45554.82577233647,1363.4457344433977,3601.26138353227,3155.0247115475286
1201132,8.869,0.8307,164,4.832,4.313,9.284,104,24,88,10,298,51,833,76,485,1969,15,2,8,6,64,3,52,20,38,208,2.504,6.365,0.0114197487962924,0.0042881646655231,0.0936419881160232,0.0403244527222177,995,60.16338,24.90505,Salmisaari,0.3240180422333365,41774.38562123001,1492.8632559158893,3821.6916629864604,2689.5273654684247,0.31391792719962963,44017.2223330641,1412.6882070455451,3469.945198249743,2864.7891197101812
1310205,4.428,0.8306,49,1.357,5.548,10.677,19,6,22,4,161,12,142,35,104,505,2,2,7,1,103,3,32,16,15,181,2.961,1.467,3.252288991730427e-05,0.0017152658662092,0.0686073939028005,0.0036758641795486,22,60.159182,24.8747,Lahnalahden p.,0.3022756987241546,47346.88735245469,1190.1624734324246,3580.1277310134356,3222.162079093389,0.30757864217703046,46164.64587342413,1273.7290615254988,3563.268627619978,3025.4400109275016
1310111,3.316,0.6947,29,1.429,5.987,11.123,8,3,8,2,128,3,43,17,17,229,1,2,7,0,78,3,26,11,12,140,2.736,0.5799999999999996,2.270423343107688e-06,0.0017152658662092,0.0604171699959305,0.0011592154437729,24,60.1568,24.86791,Kuikkarinne,0.3028744498985445,47172.24318389681,1203.9545873816091,3612.3805284565506,3239.6768432677964,0.30344269824728864,47111.66086279683,1197.518550445232,3542.3363482809486,3125.247159354861
1310112,3.916,0.6966,43,1.39,5.955,11.091,9,3,9,4,147,4,62,23,33,294,1,2,7,0,86,3,29,14,14,156,2.82,1.096,2.270423343107688e-06,0.0017152658662092,0.0604171699959305,0.0011592154437729,24,60.15688,24.86863,Kuikkarinne,0.3021698985767972,47377.747214712756,1187.7253881278646,3574.4286178122857,3219.0671964278636,0.30415177683450123,46994.54468436897,1197.1962372257335,3494.671655597357,3034.1982109245005
1310124,2.643,0.8291,19,0.818,5.507,10.657,9,3,8,4,102,4,54,19,32,235,1,2,5,1,81,2,20,12,12,136,2.83,-0.1870000000000002,3.1404814386012334e-05,0.0017152658662092,0.0685871461770589,0.0073655822947263,15,60.16161,24.8697,Lahnalahdentie,0.30694234312286794,45985.717193917706,1297.6576969248183,3831.504835507816,3358.6715000770923,0.3079173103077749,45958.02016861414,1272.4587243175479,3638.3510457279635,3067.324297695028
1310225,4.619,0.8428,54,1.385,5.496,10.644,25,7,25,5,165,14,217,36,150,644,2,2,6,1,85,3,22,12,12,145,2.885,1.734,3.1404814386012334e-05,0.0017152658662092,0.0685871461770589,0.0073655822947263,15,60.1614,24.87051,Lahnalahdentie,0.30662489773577695,46078.30989028698,1290.3454057115898,3814.405074860952,3349.385537341709,0.307976188594832,46076.3945688037,1298.317139033919,3591.8662317435537,3075.0981238297804
1310105,4.32,0.7102,46,2.507,5.27,10.39,12,5,17,4,162,12,112,30,91,445,2,2,7,1,94,3,31,16,15,171,2.717,1.6030000000000002,0.000172172733379,0.0042881646655231,0.0735957584730972,0.0197699096865028,20,60.16055,24.87946,Lauttasaarentie,0.30279344321473584,47198.09183427931,1201.676331398883,3605.891643554486,3234.54004470296,0.30607806178227914,46519.16947428398,1244.900879688808,3547.369585834495,3051.143005539658
1310106,5.216,0.8468,66,1.75,5.239,10.35,33,15,32,5,173,14,388,36,182,878,2,2,6,1,96,3,33,16,15,174,2.656,2.56,0.000172172733379,0.0042881646655231,0.0735957584730972,0.0197699096865028,20,60.160291,24.881229,Lauttasaarentie,0.3020867558685267,47419.44254392779,1182.5714160443713,3553.254024025646,3194.8968131907254,0.3087031475053184,45904.271703852995,1344.2327397013491,3652.7194589092546,3177.499699501348
1310601,10.698,0.7006,218,7.742,5.407,10.524,139,28,111,16,318,68,1067,97,585,2429,2,2,6,1,107,3,32,17,15,185,2.812,7.886000000000001,0.0076510073718622,0.0017152658662092,0.0932512182434581,0.001712321203778,19,60.159362,24.87857,Lauttasaari,0.30102360148330626,47712.09996653324,1161.3206630780069,3512.68128511826,3185.535532315876,0.32022373914794533,41628.37222952319,1500.602117528228,3466.2624027379593,2528.9562312247526
1310602,5.024,0.8402,104,2.171,5.402,10.519,73,20,67,5,163,30,668,44,349,1419,2,2,6,1,106,3,32,16,15,183,2.827,2.197,0.0076510073718622,0.0017152658662092,0.0932512182434581,0.001712321203778,19,60.159443,24.8785,Lauttasaari,0.30133846644572815,47620.25993026744,1168.573514723354,3529.64204659864,3194.7460120601886,0.32016596576556,41964.05946092539,1697.341408430423,3925.6392145794084,3059.0299077572486
1201107,7.647,0.7872,177,3.413,4.198,9.012,112,24,87,11,230,51,842,70,495,1922,29,5,19,5,89,12,163,28,136,486,3.072,4.575,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.162674,24.916438,Selkämerenkatu,0.32445186917998287,41712.09038126704,1487.974331051938,3661.3107276048067,2664.4718428797623,0.31893224836828515,42595.81075231392,1521.4779670328082,3575.1908057396067,2838.3109814070904
1201130,8.711,0.7034,198,4.021,4.054,8.924,116,25,96,14,269,56,887,77,530,2070,24,5,17,5,83,12,147,28,112,433,3.072,5.639,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.16431,24.91405,Länsiväylä,0.3242438732366101,41838.77370733309,1559.3507521199176,3813.2810168656088,2854.034661528482,0.31977242949504936,42170.51995401383,1480.8586394285146,3496.8737755981338,2731.279854917192
1201135,8.97,0.8204,187,4.344,4.152,9.009,112,25,91,11,291,53,863,78,499,2023,21,4,14,5,83,10,116,28,92,373,2.977,5.993,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.16338,24.91418,Ruoholaht,0.32486584715145816,41618.611979256275,1522.6684447415955,3755.8338309174683,2712.5179041086694,0.315034160904759,43717.03131195015,1439.3842531590765,3497.838251472839,2852.339347405399
1201136,8.199,0.7628,187,3.773,4.146,8.993,117,25,92,13,260,55,883,78,536,2059,22,5,18,5,84,11,128,28,100,401,3.031,5.167999999999999,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.16335,24.91484,Ruoholaht,0.32469209944092203,41675.85989565166,1526.5530942245525,3753.937859864113,2738.0611083226268,0.3189999002753068,42597.28302263933,1485.5878655224415,3499.004134724707,2768.9037858209113
1201431,8.916,0.7149,191,3.944,4.146,8.993,114,25,90,12,259,53,861,74,504,1992,22,5,18,5,84,11,128,28,100,401,3.031,5.885,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.16335,24.91484,Ruoholaht,0.32469209944092203,41675.85989565166,1526.5530942245525,3753.937859864113,2738.0611083226268,0.3194488654723844,42251.100312364266,1504.366507758044,3538.2961688950154,2797.134008705446
1201432,7.647,0.7872,177,3.413,4.152,9.009,112,24,87,11,230,51,842,70,495,1922,21,4,14,5,83,10,116,28,92,373,2.977,4.67,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.16338,24.91418,Ruoholaht,0.32486584715145816,41618.611979256275,1522.6684447415955,3755.8338309174683,2712.5179041086694,0.31893224836828515,42595.81075231392,1521.4779670328082,3575.1908057396067,2838.3109814070904
1201601,13.284,0.6555,276,11.599,4.229,9.082,145,33,127,17,392,71,1137,111,625,2658,18,4,13,5,82,8,95,25,80,330,2.777,10.507,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.162714,24.913852,Ruoholahti,0.3256421919935205,41376.0842012747,1497.5725349222103,3724.0379324305613,2583.4693079523486,0.3208575715518594,40955.13706027046,1441.8034183261261,3318.4017937110325,2318.2640270024162
